# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG41
# I_OGLE = 18.13, at pixel (150.4, 150.4) in this field
# RA, Dec (J2000) = 17:52:38.086 , -31:47:36.21  =  268.158690 , -31.793393 deg
#   Sky position from inverting this field own Gaia-to-pixel map. The two fields
#   agree on it to 2-9 mas. Pixel positions differ between fields: the cut-outs
#   are offset by about 1.1 pix.
# X_mas, Y_mas: source position in mas, proper motion NOT removed, relative to the mean
# Two error options are given for each axis:
#   errX_decade, errY_decade: the running median residual RMS of all field stars at the
#     target catalogue magnitude I=18.13, over the whole 2016-2026 run. Constant.
#   errX_season, errY_season: the target own residual RMS within its observing season.
#     Follows the target brightness, so it is smallest in 2026 when the event magnifies it.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457439.889474,-2.8860,-13.4028,21.8034,23.4840,19.2827,18.2176,1
2457440.873734,35.2571,8.1792,21.8034,23.4840,19.2827,18.2176,1
2457444.849234,-45.9164,35.1589,21.8034,23.4840,19.2827,18.2176,1
2457444.850904,56.5959,20.6430,21.8034,23.4840,19.2827,18.2176,1
2457446.857474,10.7653,15.6037,21.8034,23.4840,19.2827,18.2176,1
2457447.884184,6.9188,-4.0899,21.8034,23.4840,19.2827,18.2176,1
2457448.848144,-15.1955,-27.9084,21.8034,23.4840,19.2827,18.2176,1
2457448.870694,-31.8418,6.5353,21.8034,23.4840,19.2827,18.2176,1
2457451.847284,-50.3389,58.4842,21.8034,23.4840,19.2827,18.2176,1
2457452.879104,13.9792,-2.5697,21.8034,23.4840,19.2827,18.2176,1
2457453.862354,-9.6438,29.6782,21.8034,23.4840,19.2827,18.2176,1
2457457.840084,1.8150,47.6062,21.8034,23.4840,19.2827,18.2176,1
2457461.803824,11.8035,7.3193,21.8034,23.4840,19.2827,18.2176,1
2457462.874924,-8.4141,37.8730,21.8034,23.4840,19.2827,18.2176,1
2457466.801244,-48.9316,-12.0940,21.8034,23.4840,19.2827,18.2176,1
2457466.821464,-12.0664,28.3873,21.8034,23.4840,19.2827,18.2176,1
2457466.841764,-17.3140,22.2220,21.8034,23.4840,19.2827,18.2176,1
2457472.846424,-5.3292,15.7489,21.8034,23.4840,19.2827,18.2176,1
2457473.798434,13.3021,-9.7090,21.8034,23.4840,19.2827,18.2176,1
2457473.819034,5.4556,12.9905,21.8034,23.4840,19.2827,18.2176,1
2457473.904514,-14.3007,26.2694,21.8034,23.4840,19.2827,18.2176,1
2457474.866454,-35.1935,-1.6083,21.8034,23.4840,19.2827,18.2176,1
2457475.810414,-1.6609,42.0925,21.8034,23.4840,19.2827,18.2176,1
2457475.902514,-9.1905,19.7286,21.8034,23.4840,19.2827,18.2176,1
2457476.800247,-25.3974,7.6048,21.8034,23.4840,19.2827,18.2176,1
2457476.855647,-11.8459,25.4624,21.8034,23.4840,19.2827,18.2176,1
2457476.876207,-12.2246,20.9502,21.8034,23.4840,19.2827,18.2176,1
2457476.897937,-28.6165,11.7697,21.8034,23.4840,19.2827,18.2176,1
2457477.762764,-15.8220,6.2133,21.8034,23.4840,19.2827,18.2176,1
2457477.864484,-9.6949,24.0998,21.8034,23.4840,19.2827,18.2176,1
2457478.835594,-20.3785,28.2633,21.8034,23.4840,19.2827,18.2176,1
2457479.814637,-51.0640,-5.8467,21.8034,23.4840,19.2827,18.2176,1
2457479.852057,30.9209,35.3222,21.8034,23.4840,19.2827,18.2176,1
2457479.908047,10.2850,26.4943,21.8034,23.4840,19.2827,18.2176,1
2457480.770937,-30.3916,3.5434,21.8034,23.4840,19.2827,18.2176,1
2457480.790677,-34.1017,16.3537,21.8034,23.4840,19.2827,18.2176,1
2457480.890507,3.2370,19.7691,21.8034,23.4840,19.2827,18.2176,1
2457481.791947,8.2952,39.2272,21.8034,23.4840,19.2827,18.2176,1
2457481.839657,10.6525,2.9480,21.8034,23.4840,19.2827,18.2176,1
2457481.857877,-15.3061,21.3473,21.8034,23.4840,19.2827,18.2176,1
2457481.876327,-23.5508,25.2170,21.8034,23.4840,19.2827,18.2176,1
2457482.768117,0.8919,-3.3696,21.8034,23.4840,19.2827,18.2176,1
2457482.812497,-11.7462,35.8439,21.8034,23.4840,19.2827,18.2176,1
2457482.853377,2.4781,-7.4344,21.8034,23.4840,19.2827,18.2176,1
2457484.794527,-14.6040,22.9627,21.8034,23.4840,19.2827,18.2176,1
2457484.827107,-29.0668,24.0674,21.8034,23.4840,19.2827,18.2176,1
2457484.847627,22.1299,21.4538,21.8034,23.4840,19.2827,18.2176,1
2457485.795637,-7.2159,4.4630,21.8034,23.4840,19.2827,18.2176,1
2457485.893707,-23.9790,31.7481,21.8034,23.4840,19.2827,18.2176,1
2457486.839167,21.3984,37.5503,21.8034,23.4840,19.2827,18.2176,1
2457486.889047,19.3238,24.5864,21.8034,23.4840,19.2827,18.2176,1
2457487.803837,-34.3551,0.8571,21.8034,23.4840,19.2827,18.2176,1
2457487.845557,6.7595,53.9674,21.8034,23.4840,19.2827,18.2176,1
2457487.874027,10.7332,46.1868,21.8034,23.4840,19.2827,18.2176,1
2457487.895397,-13.2931,34.6548,21.8034,23.4840,19.2827,18.2176,1
2457488.818874,-8.8599,36.8240,21.8034,23.4840,19.2827,18.2176,1
2457488.836974,-24.2827,20.1557,21.8034,23.4840,19.2827,18.2176,1
2457491.768237,2.8586,22.8690,21.8034,23.4840,19.2827,18.2176,1
2457491.806997,-16.9747,52.3638,21.8034,23.4840,19.2827,18.2176,1
2457491.824187,0.2701,32.2977,21.8034,23.4840,19.2827,18.2176,1
2457494.718167,3.4953,6.7727,21.8034,23.4840,19.2827,18.2176,1
2457494.768487,7.1681,26.0141,21.8034,23.4840,19.2827,18.2176,1
2457494.813627,-32.9120,36.5835,21.8034,23.4840,19.2827,18.2176,1
2457494.831367,8.0883,10.5837,21.8034,23.4840,19.2827,18.2176,1
2457494.921657,-12.3606,11.4297,21.8034,23.4840,19.2827,18.2176,1
2457495.720887,-27.7213,11.0729,21.8034,23.4840,19.2827,18.2176,1
2457495.807627,10.2706,23.9180,21.8034,23.4840,19.2827,18.2176,1
2457499.710867,-1.5267,39.0091,21.8034,23.4840,19.2827,18.2176,1
2457499.798077,-12.3656,11.5208,21.8034,23.4840,19.2827,18.2176,1
2457499.815097,-17.0212,26.9005,21.8034,23.4840,19.2827,18.2176,1
2457499.851657,-33.8577,10.9747,21.8034,23.4840,19.2827,18.2176,1
2457500.733187,-7.6773,29.4593,21.8034,23.4840,19.2827,18.2176,1
2457500.751287,-14.3369,18.0956,21.8034,23.4840,19.2827,18.2176,1
2457500.823517,-13.2850,18.5324,21.8034,23.4840,19.2827,18.2176,1
2457500.861887,-16.4490,9.3267,21.8034,23.4840,19.2827,18.2176,1
2457500.880267,8.5818,37.0747,21.8034,23.4840,19.2827,18.2176,1
2457500.902657,-37.0335,-11.1105,21.8034,23.4840,19.2827,18.2176,1
2457505.738797,-18.2826,29.3478,21.8034,23.4840,19.2827,18.2176,1
2457505.755807,-26.9062,24.3328,21.8034,23.4840,19.2827,18.2176,1
2457508.728027,-24.9310,-6.3258,21.8034,23.4840,19.2827,18.2176,1
2457508.730837,-0.6102,22.1373,21.8034,23.4840,19.2827,18.2176,1
2457508.748327,-14.0998,-4.0080,21.8034,23.4840,19.2827,18.2176,1
2457508.794397,-15.2123,19.2822,21.8034,23.4840,19.2827,18.2176,1
2457508.812047,-35.3865,19.3015,21.8034,23.4840,19.2827,18.2176,1
2457508.838847,-17.2456,27.1989,21.8034,23.4840,19.2827,18.2176,1
2457508.857177,18.0427,28.1319,21.8034,23.4840,19.2827,18.2176,1
2457508.883677,-14.2104,13.8852,21.8034,23.4840,19.2827,18.2176,1
2457508.918587,-7.2753,21.4827,21.8034,23.4840,19.2827,18.2176,1
2457509.703631,-10.8869,13.6752,21.8034,23.4840,19.2827,18.2176,1
2457509.731837,0.2483,18.2856,21.8034,23.4840,19.2827,18.2176,1
2457511.777867,-4.2297,6.0470,21.8034,23.4840,19.2827,18.2176,1
2457511.816157,-32.1086,20.0460,21.8034,23.4840,19.2827,18.2176,1
2457511.835367,-18.7240,13.3476,21.8034,23.4840,19.2827,18.2176,1
2457511.925217,-6.7013,31.5991,21.8034,23.4840,19.2827,18.2176,1
2457512.660867,-16.7239,13.0991,21.8034,23.4840,19.2827,18.2176,1
2457512.728647,-15.8478,-0.1541,21.8034,23.4840,19.2827,18.2176,1
2457512.750437,-18.7938,46.4706,21.8034,23.4840,19.2827,18.2176,1
2457512.774577,-24.4436,-2.4136,21.8034,23.4840,19.2827,18.2176,1
2457512.844537,-8.8745,21.6719,21.8034,23.4840,19.2827,18.2176,1
2457512.899527,-7.0293,8.1899,21.8034,23.4840,19.2827,18.2176,1
2457512.918057,-18.2033,10.1262,21.8034,23.4840,19.2827,18.2176,1
2457517.728187,10.0118,15.2433,21.8034,23.4840,19.2827,18.2176,1
2457522.679907,21.2409,15.5200,21.8034,23.4840,19.2827,18.2176,1
2457522.750627,8.6847,48.8817,21.8034,23.4840,19.2827,18.2176,1
2457522.838847,-6.5317,5.2591,21.8034,23.4840,19.2827,18.2176,1
2457523.744977,9.0580,13.4070,21.8034,23.4840,19.2827,18.2176,1
2457523.805447,-11.8623,14.6785,21.8034,23.4840,19.2827,18.2176,1
2457523.854977,0.3817,31.6035,21.8034,23.4840,19.2827,18.2176,1
2457523.879457,-4.6521,-0.1958,21.8034,23.4840,19.2827,18.2176,1
2457526.655347,11.8993,44.2833,21.8034,23.4840,19.2827,18.2176,1
2457526.724437,-21.7228,29.7017,21.8034,23.4840,19.2827,18.2176,1
2457526.742827,-0.2596,22.7941,21.8034,23.4840,19.2827,18.2176,1
2457526.872007,1.1729,13.5562,21.8034,23.4840,19.2827,18.2176,1
2457528.912597,5.1938,-6.1466,21.8034,23.4840,19.2827,18.2176,1
2457528.930967,-34.6188,12.9953,21.8034,23.4840,19.2827,18.2176,1
2457530.734697,13.3652,22.1974,21.8034,23.4840,19.2827,18.2176,1
2457530.824517,-29.4270,32.5098,21.8034,23.4840,19.2827,18.2176,1
2457534.633077,-19.1250,33.3307,21.8034,23.4840,19.2827,18.2176,1
2457534.717017,-12.9507,40.4484,21.8034,23.4840,19.2827,18.2176,1
2457534.734347,-15.0619,17.8123,21.8034,23.4840,19.2827,18.2176,1
2457534.811537,-26.4848,32.9782,21.8034,23.4840,19.2827,18.2176,1
2457534.829147,-27.9900,5.4427,21.8034,23.4840,19.2827,18.2176,1
2457534.895147,-6.4653,14.3736,21.8034,23.4840,19.2827,18.2176,1
2457536.664507,-28.4702,22.4933,21.8034,23.4840,19.2827,18.2176,1
2457536.685767,-20.8789,23.0725,21.8034,23.4840,19.2827,18.2176,1
2457536.705167,-10.5881,7.9378,21.8034,23.4840,19.2827,18.2176,1
2457536.728777,-33.7310,16.0300,21.8034,23.4840,19.2827,18.2176,1
2457536.746147,-12.3746,-0.0022,21.8034,23.4840,19.2827,18.2176,1
2457536.826887,-0.6806,17.3829,21.8034,23.4840,19.2827,18.2176,1
2457536.844257,26.2033,50.3679,21.8034,23.4840,19.2827,18.2176,1
2457536.872747,-4.6233,-10.9940,21.8034,23.4840,19.2827,18.2176,1
2457536.909327,-8.0512,-0.9993,21.8034,23.4840,19.2827,18.2176,1
2457546.814067,-29.3196,5.4924,21.8034,23.4840,19.2827,18.2176,1
2457546.840567,-0.5166,-0.2778,21.8034,23.4840,19.2827,18.2176,1
2457546.862437,-10.9719,14.1226,21.8034,23.4840,19.2827,18.2176,1
2457547.611987,-29.2532,0.7514,21.8034,23.4840,19.2827,18.2176,1
2457547.680367,-17.2562,19.5423,21.8034,23.4840,19.2827,18.2176,1
2457547.741427,-25.8482,9.8218,21.8034,23.4840,19.2827,18.2176,1
2457547.769937,-6.9058,-1.0594,21.8034,23.4840,19.2827,18.2176,1
2457547.841237,4.9530,4.4456,21.8034,23.4840,19.2827,18.2176,1
2457548.630097,-1.0866,21.0277,21.8034,23.4840,19.2827,18.2176,1
2457548.648007,17.9355,22.6068,21.8034,23.4840,19.2827,18.2176,1
2457548.678917,8.0424,31.1851,21.8034,23.4840,19.2827,18.2176,1
2457548.722674,1.9140,23.9892,21.8034,23.4840,19.2827,18.2176,1
2457548.742164,9.5677,17.6898,21.8034,23.4840,19.2827,18.2176,1
2457548.781294,-16.6695,21.7106,21.8034,23.4840,19.2827,18.2176,1
2457548.887977,-40.0561,30.1124,21.8034,23.4840,19.2827,18.2176,1
2457549.678437,-13.6206,39.4203,21.8034,23.4840,19.2827,18.2176,1
2457549.717867,2.8119,21.8608,21.8034,23.4840,19.2827,18.2176,1
2457549.753817,-24.2506,19.1913,21.8034,23.4840,19.2827,18.2176,1
2457549.786007,3.3415,17.3955,21.8034,23.4840,19.2827,18.2176,1
2457549.801607,-10.2399,2.2723,21.8034,23.4840,19.2827,18.2176,1
2457549.819117,-18.5275,9.2480,21.8034,23.4840,19.2827,18.2176,1
2457549.855937,-9.7776,38.9552,21.8034,23.4840,19.2827,18.2176,1
2457550.668197,-13.8086,-2.5216,21.8034,23.4840,19.2827,18.2176,1
2457550.794167,-0.2147,41.8919,21.8034,23.4840,19.2827,18.2176,1
2457550.822617,-19.3735,3.9673,21.8034,23.4840,19.2827,18.2176,1
2457550.840357,-6.7616,20.2022,21.8034,23.4840,19.2827,18.2176,1
2457551.651987,14.0606,-1.5000,21.8034,23.4840,19.2827,18.2176,1
2457551.682527,-27.4628,18.1335,21.8034,23.4840,19.2827,18.2176,1
2457551.701347,-13.8322,25.8698,21.8034,23.4840,19.2827,18.2176,1
2457551.776287,-1.9151,12.9315,21.8034,23.4840,19.2827,18.2176,1
2457554.573027,-41.8198,-10.6519,21.8034,23.4840,19.2827,18.2176,1
2457554.611437,19.4933,13.2373,21.8034,23.4840,19.2827,18.2176,1
