# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG01, v13 reduction
# the target
# Solution: ~/KMTdata/Results/v13/IFfinal_BLG01.mat
# v13 fits the calibration set 14<I<19, isolated to 2 arcsec, minus 2-sigma RMS outliers: 235 stars, with 6 SysRem components.
# All are freely fitted; Gaia RUWE<1.4 is applied only in the post-hoc tie.
# I_OGLE = 18.13, at pixel (151.5, 150.1), 0.0 pix from the target
# RA, Dec (J2000) = 17:52:38.086 , -31:47:36.22  =  268.158690 , -31.793394 deg
# absolute proper motion (mu_alpha cos d, mu_d) = -1.960, -7.023 mas/yr
#   full six-parameter gauge removed (constant AND linear gradient)
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the run. Constant.
# errX_season, errY_season: this star own residual RMS within each season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457441.875824,-20.4934,22.3512,19.0543,18.4507,17.2003,18.6681,1
2457445.882854,7.8347,25.7277,19.0543,18.4507,17.2003,18.6681,1
2457447.845274,-21.2292,23.2874,19.0543,18.4507,17.2003,18.6681,1
2457447.896124,9.3027,17.6363,19.0543,18.4507,17.2003,18.6681,1
2457449.895624,23.6533,8.4118,19.0543,18.4507,17.2003,18.6681,1
2457451.882254,6.4613,13.8976,19.0543,18.4507,17.2003,18.6681,1
2457457.904974,8.9437,9.6352,19.0543,18.4507,17.2003,18.6681,1
2457461.815294,17.5977,8.2383,19.0543,18.4507,17.2003,18.6681,1
2457461.881694,7.6285,28.2036,19.0543,18.4507,17.2003,18.6681,1
2457466.790834,4.7697,-6.7749,19.0543,18.4507,17.2003,18.6681,1
2457466.811364,31.9952,19.5421,19.0543,18.4507,17.2003,18.6681,1
2457466.904944,-18.3950,30.7423,19.0543,18.4507,17.2003,18.6681,1
2457469.842754,-2.3529,45.9059,19.0543,18.4507,17.2003,18.6681,1
2457469.902574,21.6704,28.6238,19.0543,18.4507,17.2003,18.6681,1
2457472.877464,16.0117,3.4665,19.0543,18.4507,17.2003,18.6681,1
2457473.767334,-17.8383,46.6381,19.0543,18.4507,17.2003,18.6681,1
2457473.829174,-3.2579,31.6510,19.0543,18.4507,17.2003,18.6681,1
2457474.802834,34.8175,39.2278,19.0543,18.4507,17.2003,18.6681,1
2457474.823204,32.0157,15.8692,19.0543,18.4507,17.2003,18.6681,1
2457474.843314,-9.7668,36.5972,19.0543,18.4507,17.2003,18.6681,1
2457474.896914,-13.9821,28.8389,19.0543,18.4507,17.2003,18.6681,1
2457476.866587,-9.4134,47.7096,19.0543,18.4507,17.2003,18.6681,1
2457476.888227,-7.1386,-28.4751,19.0543,18.4507,17.2003,18.6681,1
2457479.787907,2.3645,10.3157,19.0543,18.4507,17.2003,18.6681,1
2457479.861057,-14.1677,61.2271,19.0543,18.4507,17.2003,18.6681,1
2457479.898357,-11.3815,24.2861,19.0543,18.4507,17.2003,18.6681,1
2457479.917407,-11.6729,17.7307,19.0543,18.4507,17.2003,18.6681,1
2457480.779637,-7.6857,33.8199,19.0543,18.4507,17.2003,18.6681,1
2457480.817077,11.4449,12.6983,19.0543,18.4507,17.2003,18.6681,1
2457480.899627,-33.6275,9.9339,19.0543,18.4507,17.2003,18.6681,1
2457481.758687,12.9640,-6.1130,19.0543,18.4507,17.2003,18.6681,1
2457481.779777,-18.0878,5.2272,19.0543,18.4507,17.2003,18.6681,1
2457481.830507,-0.7717,15.8676,19.0543,18.4507,17.2003,18.6681,1
2457482.798567,-5.3302,14.2843,19.0543,18.4507,17.2003,18.6681,1
2457482.841957,5.7378,29.3439,19.0543,18.4507,17.2003,18.6681,1
2457484.804047,8.4789,-14.8861,19.0543,18.4507,17.2003,18.6681,1
2457486.819627,-34.4489,8.0246,19.0543,18.4507,17.2003,18.6681,1
2457487.795227,24.0766,28.5042,19.0543,18.4507,17.2003,18.6681,1
2457487.833617,14.0868,6.4574,19.0543,18.4507,17.2003,18.6681,1
2457487.864357,8.0211,-2.7248,19.0543,18.4507,17.2003,18.6681,1
2457487.884767,-0.5690,16.0272,19.0543,18.4507,17.2003,18.6681,1
2457487.904937,-2.6842,17.9960,19.0543,18.4507,17.2003,18.6681,1
2457488.806694,-16.0948,31.3318,19.0543,18.4507,17.2003,18.6681,1
2457488.827904,-17.3346,-3.3786,19.0543,18.4507,17.2003,18.6681,1
