# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG01, v13 reduction
# calibration star "m16_d30"
# Solution: ~/KMTdata/Results/v13/IFfinal_BLG01.mat
# v13 fits the calibration set 14<I<19, isolated to 2 arcsec, minus 2-sigma RMS outliers: 235 stars, with 6 SysRem components.
# All are freely fitted; Gaia RUWE<1.4 is applied only in the post-hoc tie.
# I_OGLE = 16.63, at pixel (121.4, 154.5), 30.5 pix from the target
# RA, Dec (J2000) = 17:52:39.023 , -31:47:34.60  =  268.162595 , -31.792944 deg
# absolute proper motion (mu_alpha cos d, mu_d) = +2.333, +0.321 mas/yr
#   full six-parameter gauge removed (constant AND linear gradient)
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the run. Constant.
# errX_season, errY_season: this star own residual RMS within each season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457440.862944,19.9358,-26.6537,5.1736,5.3078,4.9195,4.3712,1
2457440.884034,20.8362,-27.6518,5.1736,5.3078,4.9195,4.3712,1
2457441.875824,27.3252,-30.4843,5.1736,5.3078,4.9195,4.3712,1
2457444.887964,21.6656,-30.1576,5.1736,5.3078,4.9195,4.3712,1
2457446.844884,23.7416,-34.4567,5.1736,5.3078,4.9195,4.3712,1
2457446.868434,21.1661,-31.0173,5.1736,5.3078,4.9195,4.3712,1
2457446.889504,22.1907,-26.8991,5.1736,5.3078,4.9195,4.3712,1
2457447.845274,26.3049,-27.1907,5.1736,5.3078,4.9195,4.3712,1
2457447.870894,21.2519,-24.0478,5.1736,5.3078,4.9195,4.3712,1
2457448.859754,23.0588,-34.0592,5.1736,5.3078,4.9195,4.3712,1
2457449.895624,27.2335,-31.0097,5.1736,5.3078,4.9195,4.3712,1
2457451.836364,16.4082,-33.4932,5.1736,5.3078,4.9195,4.3712,1
2457451.882254,17.9207,-27.5350,5.1736,5.3078,4.9195,4.3712,1
2457452.830984,18.5445,-26.4976,5.1736,5.3078,4.9195,4.3712,1
2457452.890024,21.1982,-31.1324,5.1736,5.3078,4.9195,4.3712,1
2457453.828314,20.0580,-28.1659,5.1736,5.3078,4.9195,4.3712,1
2457453.850814,13.7474,-24.2944,5.1736,5.3078,4.9195,4.3712,1
2457454.827394,15.7842,-29.2910,5.1736,5.3078,4.9195,4.3712,1
2457454.849774,11.5799,-27.9333,5.1736,5.3078,4.9195,4.3712,1
2457454.893184,15.3264,-33.3333,5.1736,5.3078,4.9195,4.3712,1
2457456.822654,14.6221,-28.0305,5.1736,5.3078,4.9195,4.3712,1
2457456.880834,22.3359,-23.7407,5.1736,5.3078,4.9195,4.3712,1
2457457.828984,16.3679,-34.9044,5.1736,5.3078,4.9195,4.3712,1
2457457.851624,23.3912,-27.0574,5.1736,5.3078,4.9195,4.3712,1
2457457.872584,15.9581,-28.0248,5.1736,5.3078,4.9195,4.3712,1
2457457.904974,18.4159,-31.7039,5.1736,5.3078,4.9195,4.3712,1
2457458.827424,21.9966,-28.8057,5.1736,5.3078,4.9195,4.3712,1
2457458.869674,18.6461,-26.1759,5.1736,5.3078,4.9195,4.3712,1
2457458.902084,19.8542,-32.9712,5.1736,5.3078,4.9195,4.3712,1
2457460.843084,18.6820,-36.5097,5.1736,5.3078,4.9195,4.3712,1
2457461.859174,18.8543,-33.2973,5.1736,5.3078,4.9195,4.3712,1
2457462.838624,28.6717,-27.8319,5.1736,5.3078,4.9195,4.3712,1
2457466.863774,26.5363,-34.5959,5.1736,5.3078,4.9195,4.3712,1
2457466.884144,27.0426,-30.4724,5.1736,5.3078,4.9195,4.3712,1
2457466.904944,22.2689,-36.5993,5.1736,5.3078,4.9195,4.3712,1
2457469.877424,14.3225,-38.9440,5.1736,5.3078,4.9195,4.3712,1
2457469.902574,18.0729,-27.9792,5.1736,5.3078,4.9195,4.3712,1
2457472.813834,20.3540,-36.4445,5.1736,5.3078,4.9195,4.3712,1
2457472.834604,27.0158,-28.8659,5.1736,5.3078,4.9195,4.3712,1
