# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG01, v13 reduction
# calibration star "m16_d31"
# Solution: ~/KMTdata/Results/v13/IFfinal_BLG01.mat
# v13 fits the calibration set 14<I<19, isolated to 2 arcsec, minus 2-sigma RMS outliers: 235 stars, with 6 SysRem components.
# All are freely fitted; Gaia RUWE<1.4 is applied only in the post-hoc tie.
# I_OGLE = 16.75, at pixel (139.7, 178.6), 30.8 pix from the target
# RA, Dec (J2000) = 17:52:38.451 , -31:47:25.03  =  268.160212 , -31.790287 deg
# absolute proper motion (mu_alpha cos d, mu_d) = +5.111, -14.936 mas/yr
#   full six-parameter gauge removed (constant AND linear gradient)
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the run. Constant.
# errX_season, errY_season: this star own residual RMS within each season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457440.862944,38.2700,53.7812,7.6589,7.6517,8.8238,6.6782,1
2457440.884034,37.6002,58.8850,7.6589,7.6517,8.8238,6.6782,1
2457441.875824,30.9858,51.8462,7.6589,7.6517,8.8238,6.6782,1
2457444.864514,30.8617,50.8508,7.6589,7.6517,8.8238,6.6782,1
2457444.887964,31.8739,59.6255,7.6589,7.6517,8.8238,6.6782,1
2457445.882854,34.1612,44.6681,7.6589,7.6517,8.8238,6.6782,1
2457446.868434,39.7573,54.4168,7.6589,7.6517,8.8238,6.6782,1
2457447.845274,33.1248,51.8823,7.6589,7.6517,8.8238,6.6782,1
2457447.896124,35.6142,58.9182,7.6589,7.6517,8.8238,6.6782,1
2457448.859754,21.2656,50.3854,7.6589,7.6517,8.8238,6.6782,1
2457448.881804,26.8977,47.7657,7.6589,7.6517,8.8238,6.6782,1
2457449.847904,22.4865,52.9143,7.6589,7.6517,8.8238,6.6782,1
2457450.833374,29.8379,58.4011,7.6589,7.6517,8.8238,6.6782,1
2457450.857254,45.3959,50.5420,7.6589,7.6517,8.8238,6.6782,1
2457451.857994,33.3977,51.6604,7.6589,7.6517,8.8238,6.6782,1
2457451.882254,34.9325,58.4039,7.6589,7.6517,8.8238,6.6782,1
2457453.828314,38.6268,45.4169,7.6589,7.6517,8.8238,6.6782,1
2457453.850814,45.3995,57.6689,7.6589,7.6517,8.8238,6.6782,1
2457454.827394,29.4574,55.3007,7.6589,7.6517,8.8238,6.6782,1
2457454.893184,36.4189,51.1322,7.6589,7.6517,8.8238,6.6782,1
2457455.883744,39.5860,49.5073,7.6589,7.6517,8.8238,6.6782,1
2457456.822654,34.9505,53.4937,7.6589,7.6517,8.8238,6.6782,1
2457456.846374,26.9301,58.3964,7.6589,7.6517,8.8238,6.6782,1
2457456.880834,33.4837,55.9971,7.6589,7.6517,8.8238,6.6782,1
2457457.828984,32.8627,62.5078,7.6589,7.6517,8.8238,6.6782,1
2457458.827424,28.9590,63.1918,7.6589,7.6517,8.8238,6.6782,1
2457458.869674,36.6178,45.1094,7.6589,7.6517,8.8238,6.6782,1
2457458.902084,45.5967,45.8785,7.6589,7.6517,8.8238,6.6782,1
2457460.800604,23.7099,53.9545,7.6589,7.6517,8.8238,6.6782,1
2457460.843084,22.5345,61.8051,7.6589,7.6517,8.8238,6.6782,1
2457461.815294,34.1582,57.9398,7.6589,7.6517,8.8238,6.6782,1
2457461.881694,41.3512,49.9296,7.6589,7.6517,8.8238,6.6782,1
2457462.816054,30.3938,53.0812,7.6589,7.6517,8.8238,6.6782,1
2457462.838624,29.5299,47.9135,7.6589,7.6517,8.8238,6.6782,1
2457462.863864,35.2996,47.1447,7.6589,7.6517,8.8238,6.6782,1
2457466.790834,48.2745,56.2753,7.6589,7.6517,8.8238,6.6782,1
2457466.884144,32.4033,49.8245,7.6589,7.6517,8.8238,6.6782,1
2457469.816634,38.9121,63.1402,7.6589,7.6517,8.8238,6.6782,1
2457469.842754,39.3145,67.0234,7.6589,7.6517,8.8238,6.6782,1
2457469.877424,37.2569,50.6003,7.6589,7.6517,8.8238,6.6782,1
2457469.902574,35.5713,55.7484,7.6589,7.6517,8.8238,6.6782,1
2457470.790374,36.4922,53.2125,7.6589,7.6517,8.8238,6.6782,1
