# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG41, v13 reduction
# calibration star "m18_d04"
# Solution: ~/KMTdata/Results/v13/IFfinal_BLG41.mat
# v13 fits the calibration set 14<I<19, isolated to 2 arcsec, minus 2-sigma RMS outliers: 260 stars, with 6 SysRem components.
# All are freely fitted; Gaia RUWE<1.4 is applied only in the post-hoc tie.
# I_OGLE = 18.14, at pixel (146.5, 148.3), 4.5 pix from the target
# RA, Dec (J2000) = 17:52:38.209 , -31:47:37.06  =  268.159206 , -31.793628 deg
# absolute proper motion (mu_alpha cos d, mu_d) = -0.313, -5.638 mas/yr
#   full six-parameter gauge removed (constant AND linear gradient)
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the run. Constant.
# errX_season, errY_season: this star own residual RMS within each season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457439.889474,-9.9755,1.8447,20.2111,23.5536,16.5319,21.4161,1
2457440.873734,26.8866,-20.9218,20.2111,23.5536,16.5319,21.4161,1
2457444.849234,-12.7678,-19.7861,20.2111,23.5536,16.5319,21.4161,1
2457446.857474,9.7984,0.1824,20.2111,23.5536,16.5319,21.4161,1
2457447.884184,1.6961,-13.2237,20.2111,23.5536,16.5319,21.4161,1
2457448.870694,32.4492,3.3320,20.2111,23.5536,16.5319,21.4161,1
2457451.847284,-0.1686,25.9982,20.2111,23.5536,16.5319,21.4161,1
2457452.879104,18.4084,-7.3904,20.2111,23.5536,16.5319,21.4161,1
2457453.839854,16.7912,-26.9621,20.2111,23.5536,16.5319,21.4161,1
2457453.862354,11.2218,-3.0486,20.2111,23.5536,16.5319,21.4161,1
2457455.818494,-20.3747,-9.5184,20.2111,23.5536,16.5319,21.4161,1
2457455.872884,-26.5714,30.9644,20.2111,23.5536,16.5319,21.4161,1
2457455.895704,-11.2320,-22.9088,20.2111,23.5536,16.5319,21.4161,1
2457457.840084,0.6227,-10.2441,20.2111,23.5536,16.5319,21.4161,1
2457458.814244,7.3853,-3.5220,20.2111,23.5536,16.5319,21.4161,1
2457458.837924,-24.4673,11.7776,20.2111,23.5536,16.5319,21.4161,1
2457458.880204,24.9127,9.6625,20.2111,23.5536,16.5319,21.4161,1
2457462.874924,4.5309,-25.5463,20.2111,23.5536,16.5319,21.4161,1
2457466.801244,32.9178,-3.7546,20.2111,23.5536,16.5319,21.4161,1
2457466.821464,-15.7550,18.9631,20.2111,23.5536,16.5319,21.4161,1
2457466.841764,8.4092,-32.7389,20.2111,23.5536,16.5319,21.4161,1
2457469.830814,24.3543,15.0906,20.2111,23.5536,16.5319,21.4161,1
2457469.890464,-7.2866,-30.4122,20.2111,23.5536,16.5319,21.4161,1
2457473.798434,33.5754,-25.2740,20.2111,23.5536,16.5319,21.4161,1
2457473.819034,6.0154,11.1713,20.2111,23.5536,16.5319,21.4161,1
2457473.859344,26.1029,9.1380,20.2111,23.5536,16.5319,21.4161,1
2457473.904514,24.3468,-8.1359,20.2111,23.5536,16.5319,21.4161,1
2457474.866454,-2.2211,0.3256,20.2111,23.5536,16.5319,21.4161,1
2457475.786754,5.2836,0.7174,20.2111,23.5536,16.5319,21.4161,1
2457475.810414,-27.9317,13.0548,20.2111,23.5536,16.5319,21.4161,1
2457475.902514,-14.2433,-24.8719,20.2111,23.5536,16.5319,21.4161,1
2457476.800247,23.4643,4.2103,20.2111,23.5536,16.5319,21.4161,1
2457476.833617,31.1200,-27.5880,20.2111,23.5536,16.5319,21.4161,1
2457476.855647,29.6789,-40.2762,20.2111,23.5536,16.5319,21.4161,1
2457476.876207,13.7950,-8.4471,20.2111,23.5536,16.5319,21.4161,1
2457476.897937,6.5821,8.0934,20.2111,23.5536,16.5319,21.4161,1
2457477.762764,-14.6468,12.6007,20.2111,23.5536,16.5319,21.4161,1
2457477.864484,-29.3930,9.8873,20.2111,23.5536,16.5319,21.4161,1
2457478.835594,-10.9547,-22.0520,20.2111,23.5536,16.5319,21.4161,1
2457479.761407,6.6238,2.7659,20.2111,23.5536,16.5319,21.4161,1
2457479.779137,-27.5230,-29.8022,20.2111,23.5536,16.5319,21.4161,1
2457479.814637,5.5976,-9.5827,20.2111,23.5536,16.5319,21.4161,1
2457479.852057,-24.8282,2.9094,20.2111,23.5536,16.5319,21.4161,1
2457479.869837,-4.6338,-16.3856,20.2111,23.5536,16.5319,21.4161,1
2457479.908047,-21.2949,-33.9359,20.2111,23.5536,16.5319,21.4161,1
2457480.790677,5.4876,15.1637,20.2111,23.5536,16.5319,21.4161,1
2457480.825927,14.1914,-26.9567,20.2111,23.5536,16.5319,21.4161,1
2457480.872677,-9.9240,0.9535,20.2111,23.5536,16.5319,21.4161,1
2457481.749407,-29.8523,7.4682,20.2111,23.5536,16.5319,21.4161,1
2457481.791947,-24.1199,-14.0574,20.2111,23.5536,16.5319,21.4161,1
2457481.821037,-16.8792,5.8413,20.2111,23.5536,16.5319,21.4161,1
2457481.839657,12.2738,6.0660,20.2111,23.5536,16.5319,21.4161,1
2457481.857877,11.4214,-27.0325,20.2111,23.5536,16.5319,21.4161,1
2457481.859347,14.3025,-25.2950,20.2111,23.5536,16.5319,21.4161,1
2457481.876327,-1.7603,6.2563,20.2111,23.5536,16.5319,21.4161,1
2457482.768117,2.4152,15.8706,20.2111,23.5536,16.5319,21.4161,1
2457482.812497,5.9426,3.9498,20.2111,23.5536,16.5319,21.4161,1
2457482.853377,-29.8143,33.7455,20.2111,23.5536,16.5319,21.4161,1
2457484.827107,-13.3481,-3.9537,20.2111,23.5536,16.5319,21.4161,1
2457484.847627,-9.5983,-33.9883,20.2111,23.5536,16.5319,21.4161,1
2457484.906697,5.9727,-25.7598,20.2111,23.5536,16.5319,21.4161,1
2457485.893707,-1.4211,20.3621,20.2111,23.5536,16.5319,21.4161,1
2457486.749827,-21.3808,-10.4739,20.2111,23.5536,16.5319,21.4161,1
2457486.808127,-14.0655,-0.2516,20.2111,23.5536,16.5319,21.4161,1
2457486.863677,-3.5256,-11.3950,20.2111,23.5536,16.5319,21.4161,1
2457486.889047,7.9963,-36.6829,20.2111,23.5536,16.5319,21.4161,1
2457487.765137,-14.9792,2.3282,20.2111,23.5536,16.5319,21.4161,1
2457487.783287,-12.6008,-4.1040,20.2111,23.5536,16.5319,21.4161,1
2457487.803837,-1.9090,9.8310,20.2111,23.5536,16.5319,21.4161,1
2457487.824707,0.3844,-3.4092,20.2111,23.5536,16.5319,21.4161,1
2457487.845557,-0.1795,26.0215,20.2111,23.5536,16.5319,21.4161,1
2457487.874027,11.6600,-4.8590,20.2111,23.5536,16.5319,21.4161,1
2457488.727407,-2.4110,30.7433,20.2111,23.5536,16.5319,21.4161,1
2457488.773487,-22.1782,-20.2815,20.2111,23.5536,16.5319,21.4161,1
2457488.818874,5.0220,-29.6799,20.2111,23.5536,16.5319,21.4161,1
2457488.854164,8.4121,-20.4114,20.2111,23.5536,16.5319,21.4161,1
2457488.909167,-25.3879,-31.1909,20.2111,23.5536,16.5319,21.4161,1
2457491.719067,18.6728,-17.5040,20.2111,23.5536,16.5319,21.4161,1
2457491.740067,24.4666,15.3324,20.2111,23.5536,16.5319,21.4161,1
2457491.768237,23.4457,-38.4597,20.2111,23.5536,16.5319,21.4161,1
2457491.806997,17.0358,-39.8380,20.2111,23.5536,16.5319,21.4161,1
2457491.824187,-10.1810,6.4979,20.2111,23.5536,16.5319,21.4161,1
2457491.888487,20.9162,-12.8954,20.2111,23.5536,16.5319,21.4161,1
2457491.906987,14.2731,-35.0862,20.2111,23.5536,16.5319,21.4161,1
2457494.735697,-1.9754,27.6197,20.2111,23.5536,16.5319,21.4161,1
2457494.768487,19.3237,-21.7439,20.2111,23.5536,16.5319,21.4161,1
2457494.813627,-11.9382,-30.2446,20.2111,23.5536,16.5319,21.4161,1
2457494.831367,9.9448,8.7863,20.2111,23.5536,16.5319,21.4161,1
2457494.852017,-0.6608,4.1313,20.2111,23.5536,16.5319,21.4161,1
2457494.871877,-1.3242,-25.4893,20.2111,23.5536,16.5319,21.4161,1
2457494.903207,16.5428,-26.3667,20.2111,23.5536,16.5319,21.4161,1
2457495.720887,-7.6414,-2.4452,20.2111,23.5536,16.5319,21.4161,1
2457495.740237,11.3217,39.6240,20.2111,23.5536,16.5319,21.4161,1
2457495.758117,6.2396,-11.1181,20.2111,23.5536,16.5319,21.4161,1
2457495.786537,-29.5762,-17.4010,20.2111,23.5536,16.5319,21.4161,1
2457495.807627,-13.8919,13.6007,20.2111,23.5536,16.5319,21.4161,1
2457495.895987,-19.7308,4.3828,20.2111,23.5536,16.5319,21.4161,1
2457495.914507,-26.2842,-2.8068,20.2111,23.5536,16.5319,21.4161,1
2457497.843697,21.4712,-23.1719,20.2111,23.5536,16.5319,21.4161,1
2457497.862117,4.7930,-33.6042,20.2111,23.5536,16.5319,21.4161,1
2457498.725077,-7.9145,23.1664,20.2111,23.5536,16.5319,21.4161,1
2457498.745237,-2.6436,30.5265,20.2111,23.5536,16.5319,21.4161,1
2457498.796777,-1.3409,-15.0111,20.2111,23.5536,16.5319,21.4161,1
2457498.835077,-5.3994,-25.6059,20.2111,23.5536,16.5319,21.4161,1
2457499.769297,13.9556,0.6847,20.2111,23.5536,16.5319,21.4161,1
2457499.798077,4.5924,-24.2733,20.2111,23.5536,16.5319,21.4161,1
2457499.815097,14.6149,-7.8167,20.2111,23.5536,16.5319,21.4161,1
2457500.712497,30.1955,-23.6060,20.2111,23.5536,16.5319,21.4161,1
2457500.733187,22.5318,12.8149,20.2111,23.5536,16.5319,21.4161,1
2457500.751287,0.1835,-9.8598,20.2111,23.5536,16.5319,21.4161,1
2457500.823517,8.2622,-8.4489,20.2111,23.5536,16.5319,21.4161,1
2457500.880267,21.0311,2.9567,20.2111,23.5536,16.5319,21.4161,1
2457500.902657,1.0288,-3.8605,20.2111,23.5536,16.5319,21.4161,1
2457505.738797,12.6932,-14.5364,20.2111,23.5536,16.5319,21.4161,1
2457505.755807,-10.6494,-10.0780,20.2111,23.5536,16.5319,21.4161,1
2457508.693147,-6.2620,2.1937,20.2111,23.5536,16.5319,21.4161,1
2457508.710717,3.4611,7.6234,20.2111,23.5536,16.5319,21.4161,1
2457508.728027,0.0499,-3.3692,20.2111,23.5536,16.5319,21.4161,1
2457508.730837,17.6614,19.3879,20.2111,23.5536,16.5319,21.4161,1
2457508.748327,6.3006,0.9217,20.2111,23.5536,16.5319,21.4161,1
2457508.794397,-6.2170,-34.1587,20.2111,23.5536,16.5319,21.4161,1
2457508.838847,-0.0402,-39.9928,20.2111,23.5536,16.5319,21.4161,1
2457508.857177,0.5741,-2.4856,20.2111,23.5536,16.5319,21.4161,1
2457508.901307,-8.9574,-18.2382,20.2111,23.5536,16.5319,21.4161,1
2457508.918587,-0.2728,-1.7492,20.2111,23.5536,16.5319,21.4161,1
2457509.731837,-18.2574,7.3759,20.2111,23.5536,16.5319,21.4161,1
2457509.753757,-15.0796,-22.1927,20.2111,23.5536,16.5319,21.4161,1
2457509.773537,13.3552,0.0124,20.2111,23.5536,16.5319,21.4161,1
2457509.791137,-22.6320,12.0654,20.2111,23.5536,16.5319,21.4161,1
2457511.777867,-14.6318,4.5129,20.2111,23.5536,16.5319,21.4161,1
2457511.874837,1.8425,-14.8860,20.2111,23.5536,16.5319,21.4161,1
2457512.660867,27.4754,-4.0061,20.2111,23.5536,16.5319,21.4161,1
2457512.750437,7.4344,-12.4870,20.2111,23.5536,16.5319,21.4161,1
2457512.753647,19.7019,-17.8409,20.2111,23.5536,16.5319,21.4161,1
2457512.756557,16.9229,8.2664,20.2111,23.5536,16.5319,21.4161,1
2457512.812217,11.3651,-23.7058,20.2111,23.5536,16.5319,21.4161,1
2457512.899527,-15.5657,-12.8409,20.2111,23.5536,16.5319,21.4161,1
2457512.918057,-7.9523,-14.0680,20.2111,23.5536,16.5319,21.4161,1
2457516.672847,5.9858,-14.6762,20.2111,23.5536,16.5319,21.4161,1
2457520.763607,-28.2214,10.6564,20.2111,23.5536,16.5319,21.4161,1
2457522.750627,-1.6869,-3.6349,20.2111,23.5536,16.5319,21.4161,1
2457522.767887,10.3934,-33.2072,20.2111,23.5536,16.5319,21.4161,1
2457522.785437,-7.0569,-25.5127,20.2111,23.5536,16.5319,21.4161,1
2457522.805127,9.1068,9.7028,20.2111,23.5536,16.5319,21.4161,1
2457522.838847,23.8061,-20.8770,20.2111,23.5536,16.5319,21.4161,1
2457523.744977,24.7243,10.9362,20.2111,23.5536,16.5319,21.4161,1
2457523.762527,-27.6894,-13.4126,20.2111,23.5536,16.5319,21.4161,1
