# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG01, v5 reduction
# Solution: ~/KMTdata/Results/v5/IFfinal_BLG01.mat
# v5 keeps only the calibration set (14<I<17, 2 arcsec isolated, Gaia RUWE<1.4)
# plus the target and three I~18 comparison stars. All are freely fitted and all
# take part in the frame; Gaia is applied afterwards as a post-hoc tie.
# I_OGLE = 18.13, at pixel (151.6, 150.2) in this field
# RA, Dec (J2000) = 17:52:38.085 , -31:47:36.21  =  268.158688 , -31.793392 deg
#   Sky position from inverting this field own Gaia-to-pixel map. The two fields
#   agree on it to 2-9 mas. Pixel positions differ between fields: the cut-outs
#   are offset by about 1.1 pix.
# X_mas, Y_mas: source position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: the TARGET OWN residual RMS over the whole 2016-2026 run.
#   NOTE this differs from the reference CSV, where the same column held a field-star
#   population estimate at I=18.13. v5 retains no field stars at that magnitude, so
#   that curve cannot be formed here. Constant down the column.
# errX_season, errY_season: the target own residual RMS within its observing season.
#   Follows the target brightness, so it is smallest in 2026 when the event magnifies it.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457441.875824,-7.1744,21.6250,26.7212,22.0713,20.3757,18.2013,1
2457447.845274,3.2906,20.3008,26.7212,22.0713,20.3757,18.2013,1
2457447.896124,26.7151,19.0330,26.7212,22.0713,20.3757,18.2013,1
2457449.895624,6.5566,-3.5799,26.7212,22.0713,20.3757,18.2013,1
2457452.867874,18.4215,23.5562,26.7212,22.0713,20.3757,18.2013,1
2457454.827394,11.8376,40.8477,26.7212,22.0713,20.3757,18.2013,1
2457457.904974,21.9038,19.2924,26.7212,22.0713,20.3757,18.2013,1
2457461.881694,16.9730,32.8722,26.7212,22.0713,20.3757,18.2013,1
2457466.790834,-18.9061,-18.4188,26.7212,22.0713,20.3757,18.2013,1
2457466.811364,47.8108,12.0348,26.7212,22.0713,20.3757,18.2013,1
2457466.904944,5.6142,45.9973,26.7212,22.0713,20.3757,18.2013,1
2457469.842754,9.6526,37.8507,26.7212,22.0713,20.3757,18.2013,1
2457469.902574,24.5878,33.6248,26.7212,22.0713,20.3757,18.2013,1
2457472.877464,34.9157,4.5696,26.7212,22.0713,20.3757,18.2013,1
2457473.767334,-24.3520,38.7476,26.7212,22.0713,20.3757,18.2013,1
2457473.829174,12.1061,34.9210,26.7212,22.0713,20.3757,18.2013,1
2457474.823204,40.2605,16.7027,26.7212,22.0713,20.3757,18.2013,1
2457474.843314,0.3805,39.0185,26.7212,22.0713,20.3757,18.2013,1
2457474.876584,59.6493,32.8133,26.7212,22.0713,20.3757,18.2013,1
2457474.896914,1.4641,36.1265,26.7212,22.0713,20.3757,18.2013,1
2457476.866587,4.7758,55.7933,26.7212,22.0713,20.3757,18.2013,1
2457479.843177,-52.4244,-2.8534,26.7212,22.0713,20.3757,18.2013,1
2457479.898357,-3.8239,34.8486,26.7212,22.0713,20.3757,18.2013,1
2457479.917407,-1.5756,19.7243,26.7212,22.0713,20.3757,18.2013,1
2457480.779637,-19.0231,20.3240,26.7212,22.0713,20.3757,18.2013,1
2457480.817077,-33.0940,-9.6438,26.7212,22.0713,20.3757,18.2013,1
2457480.881547,31.6083,54.6002,26.7212,22.0713,20.3757,18.2013,1
2457481.758687,-3.0703,-13.1418,26.7212,22.0713,20.3757,18.2013,1
2457481.779777,13.4461,2.8383,26.7212,22.0713,20.3757,18.2013,1
2457481.830507,18.3270,29.9099,26.7212,22.0713,20.3757,18.2013,1
2457481.885317,0.9602,30.8750,26.7212,22.0713,20.3757,18.2013,1
2457482.798567,0.0340,7.8267,26.7212,22.0713,20.3757,18.2013,1
2457482.841957,21.1069,30.3889,26.7212,22.0713,20.3757,18.2013,1
2457484.876917,37.7759,58.3450,26.7212,22.0713,20.3757,18.2013,1
2457487.795227,6.0880,17.7977,26.7212,22.0713,20.3757,18.2013,1
2457487.864357,-20.3406,-5.7400,26.7212,22.0713,20.3757,18.2013,1
2457487.884767,11.7452,23.5887,26.7212,22.0713,20.3757,18.2013,1
2457487.904937,14.6294,26.4794,26.7212,22.0713,20.3757,18.2013,1
2457488.806694,-15.6005,30.7744,26.7212,22.0713,20.3757,18.2013,1
2457488.827904,-15.0706,-0.3754,26.7212,22.0713,20.3757,18.2013,1
2457488.845654,-6.8335,31.6101,26.7212,22.0713,20.3757,18.2013,1
2457489.889827,-0.0348,49.8331,26.7212,22.0713,20.3757,18.2013,1
2457491.759557,48.6706,40.9467,26.7212,22.0713,20.3757,18.2013,1
2457491.832847,-15.1636,18.0740,26.7212,22.0713,20.3757,18.2013,1
2457491.864017,5.4363,28.9146,26.7212,22.0713,20.3757,18.2013,1
2457494.708967,-16.7279,32.0983,26.7212,22.0713,20.3757,18.2013,1
