# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG01, v5 reduction
# COMPARISON STAR "cal_d30": calibration star (14<I<17, isolated, RUWE<1.4)
# I_OGLE = 16.63, at pixel (121.4, 154.5), 30.5 pix from the target
# absolute proper motion (mu_alpha cos d, mu_d) = +1.583, +1.969 mas/yr, gauge removed
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the whole run. Constant.
# errX_season, errY_season: this star own residual RMS within each observing season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457440.862944,16.9972,-31.1216,6.8327,5.5988,6.0758,4.3568,1
2457440.884034,15.5252,-31.3455,6.8327,5.5988,6.0758,4.3568,1
2457444.887964,17.6124,-32.1627,6.8327,5.5988,6.0758,4.3568,1
2457445.882854,19.7201,-32.6965,6.8327,5.5988,6.0758,4.3568,1
2457446.844884,23.6098,-37.1251,6.8327,5.5988,6.0758,4.3568,1
2457446.889504,20.3177,-28.2150,6.8327,5.5988,6.0758,4.3568,1
2457448.836524,16.0855,-36.0338,6.8327,5.5988,6.0758,4.3568,1
2457448.859754,18.3982,-37.1594,6.8327,5.5988,6.0758,4.3568,1
2457449.870704,15.9144,-38.9827,6.8327,5.5988,6.0758,4.3568,1
2457451.836364,12.2595,-36.2378,6.8327,5.5988,6.0758,4.3568,1
2457451.857994,23.0179,-30.8859,6.8327,5.5988,6.0758,4.3568,1
2457451.882254,18.5571,-29.7519,6.8327,5.5988,6.0758,4.3568,1
2457452.830984,20.8304,-30.7248,6.8327,5.5988,6.0758,4.3568,1
2457452.890024,22.6104,-34.1952,6.8327,5.5988,6.0758,4.3568,1
2457453.828314,22.1720,-32.6610,6.8327,5.5988,6.0758,4.3568,1
2457454.827394,19.7134,-32.5112,6.8327,5.5988,6.0758,4.3568,1
2457454.849774,24.7250,-39.9219,6.8327,5.5988,6.0758,4.3568,1
2457455.883744,22.5828,-27.5962,6.8327,5.5988,6.0758,4.3568,1
2457456.822654,16.9561,-32.7123,6.8327,5.5988,6.0758,4.3568,1
2457457.828984,12.4116,-38.2468,6.8327,5.5988,6.0758,4.3568,1
2457457.851624,20.4040,-28.7015,6.8327,5.5988,6.0758,4.3568,1
2457457.872584,13.5647,-30.3627,6.8327,5.5988,6.0758,4.3568,1
2457457.904974,15.2929,-34.3172,6.8327,5.5988,6.0758,4.3568,1
2457458.827424,28.8911,-33.8038,6.8327,5.5988,6.0758,4.3568,1
2457458.869674,19.0187,-32.1355,6.8327,5.5988,6.0758,4.3568,1
2457458.902084,18.1352,-36.7550,6.8327,5.5988,6.0758,4.3568,1
2457460.822104,15.3858,-36.9563,6.8327,5.5988,6.0758,4.3568,1
2457460.843084,23.1332,-38.0704,6.8327,5.5988,6.0758,4.3568,1
2457460.866554,13.9095,-33.1855,6.8327,5.5988,6.0758,4.3568,1
2457461.815294,23.8003,-34.4700,6.8327,5.5988,6.0758,4.3568,1
2457461.859174,20.5966,-36.6484,6.8327,5.5988,6.0758,4.3568,1
