# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG01, v5 reduction
# COMPARISON STAR "out_d21": comparison star outside the calibration set
# I_OGLE = 17.91, at pixel (156.4, 170.9), 21.3 pix from the target
# absolute proper motion (mu_alpha cos d, mu_d) = -8.494, -9.744 mas/yr, gauge removed
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the whole run. Constant.
# errX_season, errY_season: this star own residual RMS within each observing season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457440.862944,-27.6849,30.2423,17.5445,10.5784,15.6264,9.6301,1
2457441.875824,-16.6751,30.4576,17.5445,10.5784,15.6264,9.6301,1
2457441.896254,-40.6134,23.1663,17.5445,10.5784,15.6264,9.6301,1
2457444.887964,-36.8237,27.7159,17.5445,10.5784,15.6264,9.6301,1
2457445.882854,-33.2221,26.2377,17.5445,10.5784,15.6264,9.6301,1
2457446.844884,-30.9597,32.3381,17.5445,10.5784,15.6264,9.6301,1
2457446.868434,-29.4179,37.6547,17.5445,10.5784,15.6264,9.6301,1
2457446.889504,-23.8269,19.1815,17.5445,10.5784,15.6264,9.6301,1
2457447.870894,-20.3067,36.3882,17.5445,10.5784,15.6264,9.6301,1
2457448.859754,-52.5475,15.0282,17.5445,10.5784,15.6264,9.6301,1
2457453.828314,-15.3815,19.6739,17.5445,10.5784,15.6264,9.6301,1
2457453.850814,-24.5183,20.0551,17.5445,10.5784,15.6264,9.6301,1
2457454.827394,-19.2423,31.2245,17.5445,10.5784,15.6264,9.6301,1
2457454.849774,-25.7113,32.3054,17.5445,10.5784,15.6264,9.6301,1
2457455.883744,-51.5094,34.1715,17.5445,10.5784,15.6264,9.6301,1
2457456.822654,-26.2993,19.4949,17.5445,10.5784,15.6264,9.6301,1
2457456.846374,-26.7663,30.5958,17.5445,10.5784,15.6264,9.6301,1
2457456.880834,-33.9885,40.9230,17.5445,10.5784,15.6264,9.6301,1
2457457.828984,-40.6211,30.5222,17.5445,10.5784,15.6264,9.6301,1
2457457.851624,-24.3553,40.7895,17.5445,10.5784,15.6264,9.6301,1
2457457.872584,-36.3407,37.7821,17.5445,10.5784,15.6264,9.6301,1
2457457.904974,-30.9290,31.1520,17.5445,10.5784,15.6264,9.6301,1
