# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG41, v5 reduction
# COMPARISON STAR "cal_d24": calibration star (14<I<17, isolated, RUWE<1.4)
# I_OGLE = 16.68, at pixel (161.3, 172.2) in this field, 24.4 pix from the target
# RA, Dec (J2000) = 17:52:37.745 , -31:47:27.53  =  268.157272 , -31.790981 deg
#   Sky position from inverting this field own Gaia-to-pixel map. The two fields
#   agree on it to 2-9 mas. Pixel positions differ between fields: the cut-outs
#   are offset by about 1.1 pix.
# absolute proper motion (mu_alpha cos d, mu_d) = -4.121, -7.623 mas/yr, gauge removed
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the whole run. Constant.
# errX_season, errY_season: this star own residual RMS within each observing season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457440.873734,-24.4558,20.0977,4.0714,4.2447,3.8920,3.8380,1
2457441.863774,-19.8526,13.6747,4.0714,4.2447,3.8920,3.8380,1
2457441.885034,-24.0669,22.1351,4.0714,4.2447,3.8920,3.8380,1
2457444.850904,-30.7363,15.2578,4.0714,4.2447,3.8920,3.8380,1
2457444.875034,-16.3878,15.9060,4.0714,4.2447,3.8920,3.8380,1
2457445.859904,-25.1327,9.4009,4.0714,4.2447,3.8920,3.8380,1
2457445.893134,-20.7703,12.3291,4.0714,4.2447,3.8920,3.8380,1
2457446.857474,-25.9317,8.3359,4.0714,4.2447,3.8920,3.8380,1
2457447.859044,-25.1822,14.3626,4.0714,4.2447,3.8920,3.8380,1
2457448.848144,-32.2364,10.9148,4.0714,4.2447,3.8920,3.8380,1
2457449.858924,-31.2223,12.0381,4.0714,4.2447,3.8920,3.8380,1
2457449.882344,-26.7031,11.0490,4.0714,4.2447,3.8920,3.8380,1
2457450.844824,-24.7597,15.5815,4.0714,4.2447,3.8920,3.8380,1
2457451.825294,-26.8423,10.2657,4.0714,4.2447,3.8920,3.8380,1
2457451.847284,-17.4466,17.3273,4.0714,4.2447,3.8920,3.8380,1
2457451.869404,-30.5338,14.4494,4.0714,4.2447,3.8920,3.8380,1
2457451.893614,-21.4637,14.6238,4.0714,4.2447,3.8920,3.8380,1
2457452.842504,-29.1801,15.9968,4.0714,4.2447,3.8920,3.8380,1
2457452.879104,-23.5092,11.1629,4.0714,4.2447,3.8920,3.8380,1
2457453.839854,-25.3278,11.5314,4.0714,4.2447,3.8920,3.8380,1
2457453.862354,-25.0389,17.3367,4.0714,4.2447,3.8920,3.8380,1
2457453.886314,-24.7628,20.0786,4.0714,4.2447,3.8920,3.8380,1
2457454.838844,-26.5307,18.8145,4.0714,4.2447,3.8920,3.8380,1
2457454.860034,-21.6057,16.6580,4.0714,4.2447,3.8920,3.8380,1
2457454.881694,-26.7331,17.2046,4.0714,4.2447,3.8920,3.8380,1
2457455.872884,-19.5875,16.3942,4.0714,4.2447,3.8920,3.8380,1
2457456.870584,-23.7912,13.6822,4.0714,4.2447,3.8920,3.8380,1
2457456.891874,-23.2495,13.1858,4.0714,4.2447,3.8920,3.8380,1
2457457.840084,-20.0565,12.8038,4.0714,4.2447,3.8920,3.8380,1
2457457.862094,-24.8155,13.0999,4.0714,4.2447,3.8920,3.8380,1
2457458.837924,-30.3200,20.7518,4.0714,4.2447,3.8920,3.8380,1
2457458.859204,-26.3491,18.3146,4.0714,4.2447,3.8920,3.8380,1
2457458.880204,-22.6504,13.4449,4.0714,4.2447,3.8920,3.8380,1
2457460.811764,-31.4876,19.0992,4.0714,4.2447,3.8920,3.8380,1
2457460.832804,-21.1743,16.5018,4.0714,4.2447,3.8920,3.8380,1
2457461.803824,-23.8400,13.0280,4.0714,4.2447,3.8920,3.8380,1
2457461.826694,-22.2108,13.6622,4.0714,4.2447,3.8920,3.8380,1
2457461.848424,-25.0961,16.8473,4.0714,4.2447,3.8920,3.8380,1
2457461.870304,-23.7379,14.3040,4.0714,4.2447,3.8920,3.8380,1
2457461.904714,-19.3309,16.5643,4.0714,4.2447,3.8920,3.8380,1
2457462.827364,-28.7400,10.4699,4.0714,4.2447,3.8920,3.8380,1
2457462.852194,-26.2594,14.7305,4.0714,4.2447,3.8920,3.8380,1
2457462.874924,-18.6163,15.5988,4.0714,4.2447,3.8920,3.8380,1
2457462.897404,-28.4253,13.8368,4.0714,4.2447,3.8920,3.8380,1
2457466.801244,-28.0586,16.7791,4.0714,4.2447,3.8920,3.8380,1
2457466.821464,-22.1801,18.7154,4.0714,4.2447,3.8920,3.8380,1
2457466.841764,-19.9664,19.0454,4.0714,4.2447,3.8920,3.8380,1
