# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG41, v5 reduction
# COMPARISON STAR "cal_d30": calibration star (14<I<17, isolated, RUWE<1.4)
# I_OGLE = 16.63, at pixel (120.4, 154.6) in this field, 30.4 pix from the target
# RA, Dec (J2000) = 17:52:39.023 , -31:47:34.60  =  268.162595 , -31.792945 deg
#   Sky position from inverting this field own Gaia-to-pixel map. The two fields
#   agree on it to 2-9 mas. Pixel positions differ between fields: the cut-outs
#   are offset by about 1.1 pix.
# absolute proper motion (mu_alpha cos d, mu_d) = +2.197, +1.949 mas/yr, gauge removed
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the whole run. Constant.
# errX_season, errY_season: this star own residual RMS within each observing season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457439.889474,7.7606,-39.4034,6.7329,5.3910,5.6472,4.2757,1
2457440.873734,9.9675,-37.4737,6.7329,5.3910,5.6472,4.2757,1
2457441.885034,3.3115,-32.9724,6.7329,5.3910,5.6472,4.2757,1
2457444.850904,6.8577,-43.6652,6.7329,5.3910,5.6472,4.2757,1
2457444.875034,7.6727,-30.9871,6.7329,5.3910,5.6472,4.2757,1
2457445.893134,9.4676,-34.9414,6.7329,5.3910,5.6472,4.2757,1
2457446.857474,2.2620,-40.0950,6.7329,5.3910,5.6472,4.2757,1
2457447.859044,6.7761,-39.0658,6.7329,5.3910,5.6472,4.2757,1
2457448.848144,7.2677,-34.7264,6.7329,5.3910,5.6472,4.2757,1
2457449.882344,1.4001,-34.7245,6.7329,5.3910,5.6472,4.2757,1
2457451.847284,6.3372,-39.8399,6.7329,5.3910,5.6472,4.2757,1
2457451.869404,6.1784,-43.2634,6.7329,5.3910,5.6472,4.2757,1
2457452.842504,5.6678,-34.6033,6.7329,5.3910,5.6472,4.2757,1
2457452.879104,3.2999,-36.2542,6.7329,5.3910,5.6472,4.2757,1
2457453.839854,4.9594,-36.5447,6.7329,5.3910,5.6472,4.2757,1
2457453.862354,5.2894,-30.7637,6.7329,5.3910,5.6472,4.2757,1
2457454.838844,8.0865,-41.2048,6.7329,5.3910,5.6472,4.2757,1
2457454.860034,10.9581,-40.8610,6.7329,5.3910,5.6472,4.2757,1
2457455.850354,15.4575,-35.9852,6.7329,5.3910,5.6472,4.2757,1
2457455.895704,11.2741,-36.1851,6.7329,5.3910,5.6472,4.2757,1
2457456.812284,7.7484,-35.3091,6.7329,5.3910,5.6472,4.2757,1
2457456.834924,7.3357,-34.1299,6.7329,5.3910,5.6472,4.2757,1
2457456.870584,0.8797,-39.8386,6.7329,5.3910,5.6472,4.2757,1
2457456.891874,10.6318,-40.1201,6.7329,5.3910,5.6472,4.2757,1
2457457.816464,7.4044,-33.1986,6.7329,5.3910,5.6472,4.2757,1
2457457.840084,11.0129,-42.4665,6.7329,5.3910,5.6472,4.2757,1
2457457.862094,4.5045,-30.0792,6.7329,5.3910,5.6472,4.2757,1
2457457.882874,9.5824,-35.2449,6.7329,5.3910,5.6472,4.2757,1
2457460.811764,8.5768,-37.2527,6.7329,5.3910,5.6472,4.2757,1
2457460.876964,6.9007,-32.6426,6.7329,5.3910,5.6472,4.2757,1
2457461.803824,8.6616,-42.0873,6.7329,5.3910,5.6472,4.2757,1
2457461.870304,15.6423,-44.6238,6.7329,5.3910,5.6472,4.2757,1
2457462.874924,11.1127,-38.1746,6.7329,5.3910,5.6472,4.2757,1
2457462.897404,15.1151,-34.0455,6.7329,5.3910,5.6472,4.2757,1
2457466.801244,10.0188,-44.1751,6.7329,5.3910,5.6472,4.2757,1
2457466.841764,8.1075,-32.9134,6.7329,5.3910,5.6472,4.2757,1
2457466.873964,6.5135,-40.8349,6.7329,5.3910,5.6472,4.2757,1
2457466.894534,4.6322,-38.1874,6.7329,5.3910,5.6472,4.2757,1
2457469.830814,0.3185,-36.1482,6.7329,5.3910,5.6472,4.2757,1
2457469.865584,6.4625,-34.2174,6.7329,5.3910,5.6472,4.2757,1
2457469.890464,12.7483,-40.5257,6.7329,5.3910,5.6472,4.2757,1
2457472.846424,5.7498,-34.0139,6.7329,5.3910,5.6472,4.2757,1
2457472.867254,7.7590,-35.3486,6.7329,5.3910,5.6472,4.2757,1
2457472.887954,8.3244,-36.2342,6.7329,5.3910,5.6472,4.2757,1
2457472.908754,3.3218,-37.7709,6.7329,5.3910,5.6472,4.2757,1
2457473.777214,11.6615,-38.7687,6.7329,5.3910,5.6472,4.2757,1
2457473.798434,13.8938,-43.9594,6.7329,5.3910,5.6472,4.2757,1
2457473.819034,13.8173,-40.6861,6.7329,5.3910,5.6472,4.2757,1
2457473.859344,6.2424,-40.3225,6.7329,5.3910,5.6472,4.2757,1
2457473.904514,4.1685,-33.3029,6.7329,5.3910,5.6472,4.2757,1
2457474.770264,-0.5199,-39.1854,6.7329,5.3910,5.6472,4.2757,1
