# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG41, v5 reduction
# COMPARISON STAR "out_d04": comparison star outside the calibration set
# I_OGLE = 18.14, at pixel (146.4, 148.3), 4.5 pix from the target
# absolute proper motion (mu_alpha cos d, mu_d) = -0.173, -4.547 mas/yr, gauge removed
# WARNING: this star is 4.5 pix from the target with ~7 pix seeing. It is blended
#   with the target and its centroid tracks the microlensing brightening; its 2026
#   season is displaced by tens of mas. Not a clean comparison object.
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the whole run. Constant.
# errX_season, errY_season: this star own residual RMS within each observing season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457439.889474,-19.4593,3.5943,28.6115,29.2517,20.8264,29.5892,1
2457440.873734,-18.0869,-21.2003,28.6115,29.2517,20.8264,29.5892,1
2457444.849234,-27.8488,-6.2464,28.6115,29.2517,20.8264,29.5892,1
2457446.857474,-3.3356,-27.3543,28.6115,29.2517,20.8264,29.5892,1
2457447.884184,-15.5378,-13.2216,28.6115,29.2517,20.8264,29.5892,1
2457448.870694,44.8242,-8.2704,28.6115,29.2517,20.8264,29.5892,1
2457451.847284,-9.2973,24.9507,28.6115,29.2517,20.8264,29.5892,1
2457453.839854,23.3953,-57.0904,28.6115,29.2517,20.8264,29.5892,1
2457453.862354,10.1039,-34.4767,28.6115,29.2517,20.8264,29.5892,1
2457455.895704,-16.2355,-21.1823,28.6115,29.2517,20.8264,29.5892,1
2457457.840084,-10.5907,-25.1186,28.6115,29.2517,20.8264,29.5892,1
2457458.814244,-23.0803,19.9866,28.6115,29.2517,20.8264,29.5892,1
2457458.880204,11.1387,-18.1287,28.6115,29.2517,20.8264,29.5892,1
2457460.876964,2.1721,7.8186,28.6115,29.2517,20.8264,29.5892,1
2457462.874924,5.8993,-46.3448,28.6115,29.2517,20.8264,29.5892,1
2457469.890464,-1.8528,-47.4983,28.6115,29.2517,20.8264,29.5892,1
2457473.798434,13.1748,-17.4646,28.6115,29.2517,20.8264,29.5892,1
2457473.819034,-8.4902,6.8872,28.6115,29.2517,20.8264,29.5892,1
2457473.859344,13.9562,-21.4478,28.6115,29.2517,20.8264,29.5892,1
2457475.786754,-28.7008,14.4882,28.6115,29.2517,20.8264,29.5892,1
2457475.902514,-19.1996,-37.2191,28.6115,29.2517,20.8264,29.5892,1
2457476.897937,1.5196,4.1573,28.6115,29.2517,20.8264,29.5892,1
2457477.762764,-9.4733,16.1304,28.6115,29.2517,20.8264,29.5892,1
2457477.864484,-25.1363,-1.9733,28.6115,29.2517,20.8264,29.5892,1
2457479.761407,4.3841,13.7739,28.6115,29.2517,20.8264,29.5892,1
2457479.779137,-13.0024,-7.5408,28.6115,29.2517,20.8264,29.5892,1
2457479.796937,29.1870,-2.1315,28.6115,29.2517,20.8264,29.5892,1
2457479.814637,3.6096,-6.5382,28.6115,29.2517,20.8264,29.5892,1
2457479.869837,-5.4192,-30.2757,28.6115,29.2517,20.8264,29.5892,1
2457479.908047,-20.7459,-35.3885,28.6115,29.2517,20.8264,29.5892,1
2457480.790677,-14.1428,19.7507,28.6115,29.2517,20.8264,29.5892,1
2457480.825927,0.0063,-16.4919,28.6115,29.2517,20.8264,29.5892,1
2457480.872677,-24.1831,6.2486,28.6115,29.2517,20.8264,29.5892,1
2457481.749407,-25.7543,16.6445,28.6115,29.2517,20.8264,29.5892,1
2457481.791947,-47.1757,0.7320,28.6115,29.2517,20.8264,29.5892,1
2457481.839657,-13.2892,9.9981,28.6115,29.2517,20.8264,29.5892,1
