# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG41, v5 reduction
# COMPARISON STAR "out_d21": comparison star outside the calibration set
# I_OGLE = 17.91, at pixel (155.3, 171.1) in this field, 21.2 pix from the target
# RA, Dec (J2000) = 17:52:37.934 , -31:47:28.01  =  268.158059 , -31.791113 deg
#   Sky position from inverting this field own Gaia-to-pixel map. The two fields
#   agree on it to 2-9 mas. Pixel positions differ between fields: the cut-outs
#   are offset by about 1.1 pix.
# absolute proper motion (mu_alpha cos d, mu_d) = -7.714, -9.553 mas/yr, gauge removed
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the whole run. Constant.
# errX_season, errY_season: this star own residual RMS within each observing season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457439.889474,-46.0740,31.1824,17.3604,10.2834,16.3630,10.2778,1
2457440.873734,-65.9221,43.4625,17.3604,10.2834,16.3630,10.2778,1
2457440.894604,-54.6709,15.3590,17.3604,10.2834,16.3630,10.2778,1
2457441.863774,-21.8371,21.3844,17.3604,10.2834,16.3630,10.2778,1
2457441.885034,-26.6061,23.5870,17.3604,10.2834,16.3630,10.2778,1
2457444.875034,-51.7723,27.7712,17.3604,10.2834,16.3630,10.2778,1
2457444.898554,-58.1852,22.4683,17.3604,10.2834,16.3630,10.2778,1
2457445.859904,-63.8064,31.0713,17.3604,10.2834,16.3630,10.2778,1
2457445.893134,-40.5071,27.6893,17.3604,10.2834,16.3630,10.2778,1
2457446.857474,-34.3006,26.9468,17.3604,10.2834,16.3630,10.2778,1
2457446.900524,-54.5774,14.5807,17.3604,10.2834,16.3630,10.2778,1
2457447.859044,-40.0464,10.8478,17.3604,10.2834,16.3630,10.2778,1
2457448.848144,-38.4068,31.2937,17.3604,10.2834,16.3630,10.2778,1
2457448.870694,-27.2085,26.7231,17.3604,10.2834,16.3630,10.2778,1
2457451.869404,-17.4907,13.3074,17.3604,10.2834,16.3630,10.2778,1
2457451.893614,-27.8979,24.6762,17.3604,10.2834,16.3630,10.2778,1
2457452.842504,-25.3261,40.1823,17.3604,10.2834,16.3630,10.2778,1
2457452.879104,-43.8133,25.5728,17.3604,10.2834,16.3630,10.2778,1
2457453.839854,-46.4916,15.9862,17.3604,10.2834,16.3630,10.2778,1
2457453.886314,-50.3935,37.3632,17.3604,10.2834,16.3630,10.2778,1
2457454.860034,-39.6050,29.8478,17.3604,10.2834,16.3630,10.2778,1
2457456.834924,-48.3395,24.5966,17.3604,10.2834,16.3630,10.2778,1
2457456.870584,-40.0390,20.8751,17.3604,10.2834,16.3630,10.2778,1
