# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG41, v5 reduction
# COMPARISON STAR "out_d48": comparison star outside the calibration set
# I_OGLE = 18.05, at pixel (198.6, 145.4) in this field, 48.4 pix from the target
# RA, Dec (J2000) = 17:52:36.584 , -31:47:38.10  =  268.152434 , -31.793915 deg
#   Sky position from inverting this field own Gaia-to-pixel map. The two fields
#   agree on it to 2-9 mas. Pixel positions differ between fields: the cut-outs
#   are offset by about 1.1 pix.
# absolute proper motion (mu_alpha cos d, mu_d) = +3.075, -7.561 mas/yr, gauge removed
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the whole run. Constant.
# errX_season, errY_season: this star own residual RMS within each observing season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457449.836374,12.5126,15.5193,19.1240,16.6835,18.4596,17.1586,1
2457451.825294,23.7848,36.0290,19.1240,16.6835,18.4596,17.1586,1
2457455.818494,24.7899,6.3003,19.1240,16.6835,18.4596,17.1586,1
2457455.850354,27.6295,-38.3685,19.1240,16.6835,18.4596,17.1586,1
2457455.872884,26.8540,-6.0491,19.1240,16.6835,18.4596,17.1586,1
2457470.778494,30.8519,-5.3672,19.1240,16.6835,18.4596,17.1586,1
2457472.801324,75.0662,-3.7943,19.1240,16.6835,18.4596,17.1586,1
2457473.777214,19.9982,4.7254,19.1240,16.6835,18.4596,17.1586,1
2457475.765234,23.6897,40.1275,19.1240,16.6835,18.4596,17.1586,1
2457476.897937,34.8006,7.9079,19.1240,16.6835,18.4596,17.1586,1
2457477.796184,26.3877,8.8714,19.1240,16.6835,18.4596,17.1586,1
2457477.885904,-5.7517,23.9728,19.1240,16.6835,18.4596,17.1586,1
2457479.761407,-4.7281,5.3806,19.1240,16.6835,18.4596,17.1586,1
2457479.814637,34.7390,18.2772,19.1240,16.6835,18.4596,17.1586,1
2457479.852057,64.2960,-14.6661,19.1240,16.6835,18.4596,17.1586,1
2457479.869837,2.4347,40.3009,19.1240,16.6835,18.4596,17.1586,1
2457480.790677,44.6231,16.7526,19.1240,16.6835,18.4596,17.1586,1
2457480.825927,26.7227,22.5626,19.1240,16.6835,18.4596,17.1586,1
2457480.872677,42.0863,-4.1729,19.1240,16.6835,18.4596,17.1586,1
2457480.890507,12.4857,21.7712,19.1240,16.6835,18.4596,17.1586,1
2457481.768077,1.6307,19.5368,19.1240,16.6835,18.4596,17.1586,1
2457481.788777,20.7049,34.3944,19.1240,16.6835,18.4596,17.1586,1
2457481.791947,13.9832,29.1336,19.1240,16.6835,18.4596,17.1586,1
2457481.821037,34.6286,25.0961,19.1240,16.6835,18.4596,17.1586,1
2457482.832237,31.7393,46.2915,19.1240,16.6835,18.4596,17.1586,1
2457484.827107,32.3341,4.4831,19.1240,16.6835,18.4596,17.1586,1
2457484.847627,-2.9638,30.1731,19.1240,16.6835,18.4596,17.1586,1
2457485.855587,44.9975,24.6759,19.1240,16.6835,18.4596,17.1586,1
2457486.784637,44.4491,-16.9664,19.1240,16.6835,18.4596,17.1586,1
2457486.808127,39.3623,-18.7098,19.1240,16.6835,18.4596,17.1586,1
2457486.839167,31.4679,16.5837,19.1240,16.6835,18.4596,17.1586,1
2457487.783287,45.0860,44.4602,19.1240,16.6835,18.4596,17.1586,1
2457487.916167,-3.1654,44.0840,19.1240,16.6835,18.4596,17.1586,1
2457488.727407,-7.1152,-11.5342,19.1240,16.6835,18.4596,17.1586,1
2457488.909167,-2.9732,-11.8167,19.1240,16.6835,18.4596,17.1586,1
2457491.719067,-1.6004,8.6502,19.1240,16.6835,18.4596,17.1586,1
2457491.740067,-0.1310,15.4730,19.1240,16.6835,18.4596,17.1586,1
2457491.768237,10.8044,20.4126,19.1240,16.6835,18.4596,17.1586,1
2457491.806997,8.1723,22.2948,19.1240,16.6835,18.4596,17.1586,1
2457491.824187,4.3653,20.1278,19.1240,16.6835,18.4596,17.1586,1
2457491.906987,4.6176,40.3878,19.1240,16.6835,18.4596,17.1586,1
2457494.718167,16.8618,-3.5254,19.1240,16.6835,18.4596,17.1586,1
2457494.735697,-2.2540,3.2567,19.1240,16.6835,18.4596,17.1586,1
2457494.813627,12.3662,18.5055,19.1240,16.6835,18.4596,17.1586,1
2457494.831367,-3.5955,35.8185,19.1240,16.6835,18.4596,17.1586,1
2457495.740237,5.8867,5.4629,19.1240,16.6835,18.4596,17.1586,1
2457495.895987,-7.4334,15.0804,19.1240,16.6835,18.4596,17.1586,1
2457495.914507,-12.1233,18.4861,19.1240,16.6835,18.4596,17.1586,1
2457497.822407,2.8356,-3.8043,19.1240,16.6835,18.4596,17.1586,1
2457497.862117,21.8708,27.6529,19.1240,16.6835,18.4596,17.1586,1
2457497.881037,4.3064,-5.3937,19.1240,16.6835,18.4596,17.1586,1
2457498.725077,22.4451,6.8942,19.1240,16.6835,18.4596,17.1586,1
2457498.745237,28.6951,45.1143,19.1240,16.6835,18.4596,17.1586,1
2457498.814507,38.6384,8.1393,19.1240,16.6835,18.4596,17.1586,1
2457498.835077,45.4099,10.3726,19.1240,16.6835,18.4596,17.1586,1
2457498.882857,5.7988,44.3059,19.1240,16.6835,18.4596,17.1586,1
2457500.712497,3.1858,9.2573,19.1240,16.6835,18.4596,17.1586,1
2457500.902657,30.0196,16.8258,19.1240,16.6835,18.4596,17.1586,1
2457504.821647,42.1739,10.5764,19.1240,16.6835,18.4596,17.1586,1
2457505.703647,14.1311,30.9558,19.1240,16.6835,18.4596,17.1586,1
2457505.721367,15.6040,10.2338,19.1240,16.6835,18.4596,17.1586,1
2457505.755807,10.5992,37.0426,19.1240,16.6835,18.4596,17.1586,1
2457508.675527,-6.3403,24.6048,19.1240,16.6835,18.4596,17.1586,1
2457508.728027,12.0204,23.1061,19.1240,16.6835,18.4596,17.1586,1
2457508.730837,16.0775,16.0319,19.1240,16.6835,18.4596,17.1586,1
2457508.918587,22.3866,18.1836,19.1240,16.6835,18.4596,17.1586,1
2457509.753757,-0.4266,21.4127,19.1240,16.6835,18.4596,17.1586,1
2457509.773537,6.0553,18.9163,19.1240,16.6835,18.4596,17.1586,1
2457512.774577,25.3387,30.9711,19.1240,16.6835,18.4596,17.1586,1
2457512.918057,-6.8809,28.7729,19.1240,16.6835,18.4596,17.1586,1
2457517.728187,34.6961,19.5302,19.1240,16.6835,18.4596,17.1586,1
2457520.876277,15.4243,17.7892,19.1240,16.6835,18.4596,17.1586,1
2457522.785437,27.9825,4.5885,19.1240,16.6835,18.4596,17.1586,1
2457523.727437,14.0126,19.0248,19.1240,16.6835,18.4596,17.1586,1
2457523.744977,17.8947,15.2714,19.1240,16.6835,18.4596,17.1586,1
2457523.783577,4.5197,33.4118,19.1240,16.6835,18.4596,17.1586,1
2457523.805447,19.6417,26.9535,19.1240,16.6835,18.4596,17.1586,1
2457523.837327,6.8481,13.6560,19.1240,16.6835,18.4596,17.1586,1
2457523.854977,13.4940,33.6609,19.1240,16.6835,18.4596,17.1586,1
2457523.896937,-7.3069,16.6352,19.1240,16.6835,18.4596,17.1586,1
2457523.914267,8.2673,25.3988,19.1240,16.6835,18.4596,17.1586,1
2457526.655347,14.3281,25.8279,19.1240,16.6835,18.4596,17.1586,1
2457526.872007,17.9714,2.5190,19.1240,16.6835,18.4596,17.1586,1
2457528.912597,-8.5827,16.6590,19.1240,16.6835,18.4596,17.1586,1
2457528.930967,19.5706,27.1304,19.1240,16.6835,18.4596,17.1586,1
2457530.734697,-5.7370,13.8605,19.1240,16.6835,18.4596,17.1586,1
2457530.753717,44.2235,26.6821,19.1240,16.6835,18.4596,17.1586,1
2457530.824517,16.4983,39.5106,19.1240,16.6835,18.4596,17.1586,1
2457534.633077,-2.5243,38.5168,19.1240,16.6835,18.4596,17.1586,1
2457534.876297,17.9308,10.0238,19.1240,16.6835,18.4596,17.1586,1
2457534.930407,-0.4556,4.4496,19.1240,16.6835,18.4596,17.1586,1
2457536.724117,18.6477,36.9720,19.1240,16.6835,18.4596,17.1586,1
2457536.844257,9.5625,31.7315,19.1240,16.6835,18.4596,17.1586,1
2457536.891467,28.7424,11.9080,19.1240,16.6835,18.4596,17.1586,1
2457545.763937,10.0406,4.9387,19.1240,16.6835,18.4596,17.1586,1
2457546.862437,17.1642,27.2791,19.1240,16.6835,18.4596,17.1586,1
2457547.594167,5.5831,36.2276,19.1240,16.6835,18.4596,17.1586,1
2457547.611987,5.8408,14.5057,19.1240,16.6835,18.4596,17.1586,1
2457547.634247,-9.0849,2.9537,19.1240,16.6835,18.4596,17.1586,1
2457547.697877,-2.9590,5.2396,19.1240,16.6835,18.4596,17.1586,1
2457547.718297,-9.2637,17.1445,19.1240,16.6835,18.4596,17.1586,1
2457547.741427,-13.1342,-4.3159,19.1240,16.6835,18.4596,17.1586,1
2457547.806597,14.2792,39.1059,19.1240,16.6835,18.4596,17.1586,1
2457547.887917,6.8548,10.3608,19.1240,16.6835,18.4596,17.1586,1
2457548.630097,7.0494,37.0987,19.1240,16.6835,18.4596,17.1586,1
2457548.722674,6.8243,23.7423,19.1240,16.6835,18.4596,17.1586,1
2457548.762454,13.3131,14.0818,19.1240,16.6835,18.4596,17.1586,1
2457548.827877,-4.7322,26.6068,19.1240,16.6835,18.4596,17.1586,1
2457549.678437,1.0087,24.7494,19.1240,16.6835,18.4596,17.1586,1
2457549.753817,2.6533,38.3036,19.1240,16.6835,18.4596,17.1586,1
2457549.786007,3.9766,39.0210,19.1240,16.6835,18.4596,17.1586,1
2457550.622257,10.7564,29.0133,19.1240,16.6835,18.4596,17.1586,1
2457550.794167,-0.8999,-7.5866,19.1240,16.6835,18.4596,17.1586,1
2457551.651987,-13.3631,-6.7815,19.1240,16.6835,18.4596,17.1586,1
2457551.682527,36.0157,3.5875,19.1240,16.6835,18.4596,17.1586,1
2457551.701347,17.7117,23.3066,19.1240,16.6835,18.4596,17.1586,1
2457554.573027,6.3767,40.0100,19.1240,16.6835,18.4596,17.1586,1
2457554.593937,1.5151,16.9357,19.1240,16.6835,18.4596,17.1586,1
2457554.629067,-5.4387,22.9248,19.1240,16.6835,18.4596,17.1586,1
2457554.658527,19.7799,10.5708,19.1240,16.6835,18.4596,17.1586,1
2457554.804137,24.9273,17.6145,19.1240,16.6835,18.4596,17.1586,1
2457555.585247,32.2635,6.9997,19.1240,16.6835,18.4596,17.1586,1
2457555.676997,24.8118,1.2730,19.1240,16.6835,18.4596,17.1586,1
2457555.825807,20.2723,27.4485,19.1240,16.6835,18.4596,17.1586,1
2457555.843767,17.3727,19.3052,19.1240,16.6835,18.4596,17.1586,1
2457557.801377,16.2692,19.3841,19.1240,16.6835,18.4596,17.1586,1
2457557.818817,22.1792,17.1081,19.1240,16.6835,18.4596,17.1586,1
2457557.836867,28.8549,29.3562,19.1240,16.6835,18.4596,17.1586,1
2457561.556857,5.4924,21.2512,19.1240,16.6835,18.4596,17.1586,1
2457561.680667,25.0051,17.8281,19.1240,16.6835,18.4596,17.1586,1
2457566.577687,16.9442,21.3296,19.1240,16.6835,18.4596,17.1586,1
2457566.796177,9.5940,35.6332,19.1240,16.6835,18.4596,17.1586,1
2457567.570617,45.6375,-11.5678,19.1240,16.6835,18.4596,17.1586,1
2457567.674037,3.8411,40.9760,19.1240,16.6835,18.4596,17.1586,1
2457567.722297,41.1130,7.7381,19.1240,16.6835,18.4596,17.1586,1
2457567.762087,35.6180,-5.0977,19.1240,16.6835,18.4596,17.1586,1
2457567.779817,-6.0311,2.3795,19.1240,16.6835,18.4596,17.1586,1
2457567.831987,33.0527,28.4341,19.1240,16.6835,18.4596,17.1586,1
2457568.576937,20.2726,8.3461,19.1240,16.6835,18.4596,17.1586,1
2457568.614377,8.4616,21.1423,19.1240,16.6835,18.4596,17.1586,1
2457568.631977,8.2294,39.6527,19.1240,16.6835,18.4596,17.1586,1
2457568.649307,10.2823,21.0573,19.1240,16.6835,18.4596,17.1586,1
