# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG01, v6 reduction
# the target
# Solution: ~/KMTdata/Results/v6/IFfinal_BLG01.mat
# v6 fits the calibration set 14<I<19, isolated to 2 arcsec, 253 stars in this field.
# All are freely fitted; Gaia RUWE<1.4 is applied only in the post-hoc tie.
# I_OGLE = 18.13, at pixel (151.5, 150.1), 0.0 pix from the target
# RA, Dec (J2000) = 17:52:38.086 , -31:47:36.22  =  268.158690 , -31.793393 deg
# absolute proper motion (mu_alpha cos d, mu_d) = -1.781, -7.136 mas/yr
#   full six-parameter gauge removed (constant AND linear gradient)
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the run. Constant.
# errX_season, errY_season: this star own residual RMS within each season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457441.875824,-18.4652,19.1436,20.4324,19.9860,18.3439,18.8843,1
2457447.845274,-13.2983,18.0170,20.4324,19.9860,18.3439,18.8843,1
2457447.896124,11.2500,14.8917,20.4324,19.9860,18.3439,18.8843,1
2457449.895624,25.2767,7.3397,20.4324,19.9860,18.3439,18.8843,1
2457451.882254,5.3546,12.3827,20.4324,19.9860,18.3439,18.8843,1
2457454.827394,7.2961,38.5412,20.4324,19.9860,18.3439,18.8843,1
2457457.904974,-0.4212,9.9261,20.4324,19.9860,18.3439,18.8843,1
2457461.815294,23.1029,7.8664,20.4324,19.9860,18.3439,18.8843,1
2457461.881694,8.7774,29.6544,20.4324,19.9860,18.3439,18.8843,1
2457466.790834,-3.6186,-13.4043,20.4324,19.9860,18.3439,18.8843,1
2457466.904944,-26.8061,32.3475,20.4324,19.9860,18.3439,18.8843,1
2457469.842754,6.6262,42.6451,20.4324,19.9860,18.3439,18.8843,1
2457469.902574,22.3599,31.7760,20.4324,19.9860,18.3439,18.8843,1
2457472.877464,15.1070,-0.4842,20.4324,19.9860,18.3439,18.8843,1
2457473.767334,-19.5233,39.9980,20.4324,19.9860,18.3439,18.8843,1
2457473.829174,-6.2855,30.6007,20.4324,19.9860,18.3439,18.8843,1
2457474.802834,38.9179,38.6054,20.4324,19.9860,18.3439,18.8843,1
2457474.823204,35.6260,17.0309,20.4324,19.9860,18.3439,18.8843,1
2457474.843314,-9.7347,36.4129,20.4324,19.9860,18.3439,18.8843,1
2457474.896914,-20.3475,26.8694,20.4324,19.9860,18.3439,18.8843,1
2457476.866587,-13.8502,46.9758,20.4324,19.9860,18.3439,18.8843,1
2457479.787907,3.4311,16.3002,20.4324,19.9860,18.3439,18.8843,1
2457479.898357,-23.4922,28.2377,20.4324,19.9860,18.3439,18.8843,1
2457479.917407,-12.7409,21.8170,20.4324,19.9860,18.3439,18.8843,1
2457480.779637,-18.9324,33.8839,20.4324,19.9860,18.3439,18.8843,1
2457480.817077,-2.2175,7.7739,20.4324,19.9860,18.3439,18.8843,1
2457480.899627,-36.5165,8.9171,20.4324,19.9860,18.3439,18.8843,1
2457481.779777,-11.3902,0.6042,20.4324,19.9860,18.3439,18.8843,1
2457481.830507,-9.6461,17.9816,20.4324,19.9860,18.3439,18.8843,1
2457481.885317,-22.9668,17.6864,20.4324,19.9860,18.3439,18.8843,1
2457482.798567,-1.7440,12.0667,20.4324,19.9860,18.3439,18.8843,1
2457482.841957,4.1138,32.7255,20.4324,19.9860,18.3439,18.8843,1
2457484.804047,-12.0849,-19.8270,20.4324,19.9860,18.3439,18.8843,1
2457486.819627,-33.9905,8.3247,20.4324,19.9860,18.3439,18.8843,1
2457487.795227,23.0182,31.4867,20.4324,19.9860,18.3439,18.8843,1
2457487.833617,10.7691,9.0597,20.4324,19.9860,18.3439,18.8843,1
2457487.864357,1.7279,0.3827,20.4324,19.9860,18.3439,18.8843,1
2457487.884767,-6.2001,16.4142,20.4324,19.9860,18.3439,18.8843,1
2457487.904937,-11.9286,19.1937,20.4324,19.9860,18.3439,18.8843,1
2457488.806694,-18.1945,32.6707,20.4324,19.9860,18.3439,18.8843,1
2457488.827904,-21.1807,-3.1615,20.4324,19.9860,18.3439,18.8843,1
2457488.845654,-11.0916,33.3548,20.4324,19.9860,18.3439,18.8843,1
2457489.889827,-11.3037,47.7761,20.4324,19.9860,18.3439,18.8843,1
2457491.832847,-22.9209,18.1464,20.4324,19.9860,18.3439,18.8843,1
2457491.864017,-6.6260,24.3771,20.4324,19.9860,18.3439,18.8843,1
2457494.708967,3.1643,32.9933,20.4324,19.9860,18.3439,18.8843,1
2457494.777367,16.6675,20.7746,20.4324,19.9860,18.3439,18.8843,1
2457494.841437,14.8300,13.5116,20.4324,19.9860,18.3439,18.8843,1
2457494.862397,-12.6689,35.1325,20.4324,19.9860,18.3439,18.8843,1
2457494.893597,-24.9502,6.1669,20.4324,19.9860,18.3439,18.8843,1
2457494.912177,2.2063,10.5693,20.4324,19.9860,18.3439,18.8843,1
2457495.730137,-14.2136,26.2640,20.4324,19.9860,18.3439,18.8843,1
2457495.834017,-1.2746,40.9919,20.4324,19.9860,18.3439,18.8843,1
2457495.856407,-12.0204,31.6698,20.4324,19.9860,18.3439,18.8843,1
2457495.904917,5.8998,6.5471,20.4324,19.9860,18.3439,18.8843,1
2457497.832117,-28.5667,6.9571,20.4324,19.9860,18.3439,18.8843,1
2457497.872107,30.1725,37.9939,20.4324,19.9860,18.3439,18.8843,1
2457498.805467,21.5182,-6.6149,20.4324,19.9860,18.3439,18.8843,1
2457498.902227,9.2118,16.3839,20.4324,19.9860,18.3439,18.8843,1
2457499.719387,-12.8042,6.4449,20.4324,19.9860,18.3439,18.8843,1
2457499.742837,2.5792,5.4063,20.4324,19.9860,18.3439,18.8843,1
2457499.760397,-4.1051,27.7531,20.4324,19.9860,18.3439,18.8843,1
2457499.806637,2.2406,10.3942,20.4324,19.9860,18.3439,18.8843,1
2457499.841957,2.7046,24.0755,20.4324,19.9860,18.3439,18.8843,1
2457499.862677,-6.9797,35.1015,20.4324,19.9860,18.3439,18.8843,1
2457499.917197,-0.0782,17.7275,20.4324,19.9860,18.3439,18.8843,1
2457500.703887,1.6631,-3.4127,20.4324,19.9860,18.3439,18.8843,1
2457500.815027,-18.0053,10.8202,20.4324,19.9860,18.3439,18.8843,1
2457500.833157,-1.7198,40.1242,20.4324,19.9860,18.3439,18.8843,1
2457500.852217,-6.7490,9.2498,20.4324,19.9860,18.3439,18.8843,1
2457505.712647,14.6235,15.2892,20.4324,19.9860,18.3439,18.8843,1
2457505.730107,9.2608,26.8336,20.4324,19.9860,18.3439,18.8843,1
2457505.747377,9.0836,5.8007,20.4324,19.9860,18.3439,18.8843,1
2457508.684247,9.1068,0.0791,20.4324,19.9860,18.3439,18.8843,1
2457508.702057,7.6421,26.2360,20.4324,19.9860,18.3439,18.8843,1
2457508.739597,5.5327,-3.2681,20.4324,19.9860,18.3439,18.8843,1
2457508.848707,-12.4642,5.0706,20.4324,19.9860,18.3439,18.8843,1
2457508.864267,-13.2908,22.0581,20.4324,19.9860,18.3439,18.8843,1
2457508.892537,6.2209,19.9834,20.4324,19.9860,18.3439,18.8843,1
2457508.910197,0.4242,-3.7712,20.4324,19.9860,18.3439,18.8843,1
2457509.694621,-17.3213,10.8995,20.4324,19.9860,18.3439,18.8843,1
2457509.723007,21.9901,35.8279,20.4324,19.9860,18.3439,18.8843,1
2457509.782237,-0.6393,32.1217,20.4324,19.9860,18.3439,18.8843,1
2457509.802137,-6.1202,28.1638,20.4324,19.9860,18.3439,18.8843,1
2457509.832107,5.0543,24.0878,20.4324,19.9860,18.3439,18.8843,1
2457511.705977,15.9139,19.4184,20.4324,19.9860,18.3439,18.8843,1
2457511.758067,-6.5048,18.2885,20.4324,19.9860,18.3439,18.8843,1
2457511.804627,-11.4774,36.1377,20.4324,19.9860,18.3439,18.8843,1
2457511.895017,-16.0735,-0.9534,20.4324,19.9860,18.3439,18.8843,1
2457512.821977,-11.7598,15.9579,20.4324,19.9860,18.3439,18.8843,1
2457512.908247,-9.5580,16.5958,20.4324,19.9860,18.3439,18.8843,1
2457516.661307,4.2593,21.2363,20.4324,19.9860,18.3439,18.8843,1
2457516.681597,-6.0134,15.8252,20.4324,19.9860,18.3439,18.8843,1
2457517.736657,-25.5805,14.6137,20.4324,19.9860,18.3439,18.8843,1
2457520.730677,12.2049,21.0961,20.4324,19.9860,18.3439,18.8843,1
2457520.862677,-3.3702,6.2469,20.4324,19.9860,18.3439,18.8843,1
2457522.759377,-0.1852,19.9784,20.4324,19.9860,18.3439,18.8843,1
2457522.776737,20.8464,27.3739,20.4324,19.9860,18.3439,18.8843,1
2457522.795037,-23.7754,6.0910,20.4324,19.9860,18.3439,18.8843,1
2457523.736217,14.9016,8.6596,20.4324,19.9860,18.3439,18.8843,1
2457523.828717,3.4137,13.3023,20.4324,19.9860,18.3439,18.8843,1
2457523.845997,2.4389,36.4352,20.4324,19.9860,18.3439,18.8843,1
2457523.865667,11.2591,20.9944,20.4324,19.9860,18.3439,18.8843,1
2457523.889747,13.1361,40.4339,20.4324,19.9860,18.3439,18.8843,1
2457526.715227,8.8658,0.4648,20.4324,19.9860,18.3439,18.8843,1
2457526.887237,-17.5466,8.1217,20.4324,19.9860,18.3439,18.8843,1
2457528.737227,-4.2398,31.0850,20.4324,19.9860,18.3439,18.8843,1
2457530.745157,16.1812,11.9204,20.4324,19.9860,18.3439,18.8843,1
2457530.765697,2.9540,17.7159,20.4324,19.9860,18.3439,18.8843,1
2457530.804687,-12.7277,37.0673,20.4324,19.9860,18.3439,18.8843,1
2457530.837957,12.8386,44.9491,20.4324,19.9860,18.3439,18.8843,1
2457534.653797,34.6679,10.5391,20.4324,19.9860,18.3439,18.8843,1
2457534.671097,-0.4048,10.7141,20.4324,19.9860,18.3439,18.8843,1
2457534.688407,-6.6597,7.3579,20.4324,19.9860,18.3439,18.8843,1
2457534.707007,-8.3716,28.9039,20.4324,19.9860,18.3439,18.8843,1
2457534.725587,6.5225,37.5097,20.4324,19.9860,18.3439,18.8843,1
2457534.755747,12.4403,38.7849,20.4324,19.9860,18.3439,18.8843,1
2457534.780777,-11.9191,34.4993,20.4324,19.9860,18.3439,18.8843,1
2457534.838157,-16.5899,15.2898,20.4324,19.9860,18.3439,18.8843,1
2457534.856717,-7.7470,16.6572,20.4324,19.9860,18.3439,18.8843,1
2457534.903917,8.4189,15.9229,20.4324,19.9860,18.3439,18.8843,1
2457536.635397,-21.8344,15.3764,20.4324,19.9860,18.3439,18.8843,1
2457536.655837,8.3786,10.4275,20.4324,19.9860,18.3439,18.8843,1
2457536.673257,26.0666,35.3725,20.4324,19.9860,18.3439,18.8843,1
2457536.696147,-0.2545,26.2320,20.4324,19.9860,18.3439,18.8843,1
2457536.765387,25.3942,57.9807,20.4324,19.9860,18.3439,18.8843,1
2457536.783447,-15.8100,23.0214,20.4324,19.9860,18.3439,18.8843,1
2457536.800897,-21.8614,30.4186,20.4324,19.9860,18.3439,18.8843,1
2457536.864117,19.5402,27.9700,20.4324,19.9860,18.3439,18.8843,1
2457536.900037,11.9659,0.5355,20.4324,19.9860,18.3439,18.8843,1
2457536.917987,15.9302,50.2000,20.4324,19.9860,18.3439,18.8843,1
2457545.724647,31.5350,49.1063,20.4324,19.9860,18.3439,18.8843,1
2457546.751857,1.7531,24.2216,20.4324,19.9860,18.3439,18.8843,1
2457546.871727,8.7665,6.0082,20.4324,19.9860,18.3439,18.8843,1
2457547.603227,-7.2818,28.0569,20.4324,19.9860,18.3439,18.8843,1
2457547.654017,-25.6334,51.0325,20.4324,19.9860,18.3439,18.8843,1
2457547.797867,-18.0123,30.8229,20.4324,19.9860,18.3439,18.8843,1
2457547.879447,-0.3249,50.5961,20.4324,19.9860,18.3439,18.8843,1
2457548.639077,-12.3004,23.0448,20.4324,19.9860,18.3439,18.8843,1
2457548.713074,1.6840,30.1470,20.4324,19.9860,18.3439,18.8843,1
2457548.753134,-14.4329,6.2310,20.4324,19.9860,18.3439,18.8843,1
2457548.801247,-2.7711,27.0119,20.4324,19.9860,18.3439,18.8843,1
2457548.818647,15.1226,36.5178,20.4324,19.9860,18.3439,18.8843,1
2457549.708577,-6.2535,13.8529,20.4324,19.9860,18.3439,18.8843,1
2457549.726477,0.8962,30.4491,20.4324,19.9860,18.3439,18.8843,1
2457549.763287,20.6806,18.3485,20.4324,19.9860,18.3439,18.8843,1
2457549.793187,30.2307,40.7306,20.4324,19.9860,18.3439,18.8843,1
2457549.847337,-0.5345,30.3324,20.4324,19.9860,18.3439,18.8843,1
2457550.642027,26.3324,40.5389,20.4324,19.9860,18.3439,18.8843,1
2457550.802867,-39.7015,38.1420,20.4324,19.9860,18.3439,18.8843,1
2457550.849127,-20.7906,35.8825,20.4324,19.9860,18.3439,18.8843,1
2457551.732337,25.5969,16.1276,20.4324,19.9860,18.3439,18.8843,1
2457551.797417,-43.5439,46.1003,20.4324,19.9860,18.3439,18.8843,1
2457554.583527,-28.6349,45.1127,20.4324,19.9860,18.3439,18.8843,1
