# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG01, v6 reduction
# calibration star "m18_d48"
# Solution: ~/KMTdata/Results/v6/IFfinal_BLG01.mat
# v6 fits the calibration set 14<I<19, isolated to 2 arcsec, 253 stars in this field.
# All are freely fitted; Gaia RUWE<1.4 is applied only in the post-hoc tie.
# I_OGLE = 18.05, at pixel (199.8, 145.0), 48.6 pix from the target
# RA, Dec (J2000) = 17:52:36.584 , -31:47:38.10  =  268.152435 , -31.793917 deg
# absolute proper motion (mu_alpha cos d, mu_d) = +3.163, -6.127 mas/yr
#   full six-parameter gauge removed (constant AND linear gradient)
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the run. Constant.
# errX_season, errY_season: this star own residual RMS within each season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457439.876374,47.1372,20.1119,14.5770,15.5699,14.9794,15.8825,1
2457441.896254,43.0238,22.2654,14.5770,15.5699,14.9794,15.8825,1
2457448.836524,31.0770,-32.2642,14.5770,15.5699,14.9794,15.8825,1
2457450.833374,20.5099,30.7877,14.5770,15.5699,14.9794,15.8825,1
2457450.857254,25.0430,4.4492,14.5770,15.5699,14.9794,15.8825,1
2457455.828864,46.0328,26.7969,14.5770,15.5699,14.9794,15.8825,1
2457455.860914,14.6571,29.7980,14.5770,15.5699,14.9794,15.8825,1
2457458.827424,26.4125,4.0860,14.5770,15.5699,14.9794,15.8825,1
2457465.787414,32.4711,9.4955,14.5770,15.5699,14.9794,15.8825,1
2457466.790834,74.0011,10.3456,14.5770,15.5699,14.9794,15.8825,1
2457469.816634,33.8592,27.4688,14.5770,15.5699,14.9794,15.8825,1
2457469.902574,20.2348,17.7004,14.5770,15.5699,14.9794,15.8825,1
2457470.790374,36.7334,-15.2019,14.5770,15.5699,14.9794,15.8825,1
2457472.813834,20.3203,3.5627,14.5770,15.5699,14.9794,15.8825,1
2457474.781964,28.7158,5.7820,14.5770,15.5699,14.9794,15.8825,1
2457475.822914,37.6417,14.2223,14.5770,15.5699,14.9794,15.8825,1
2457477.808704,32.6851,32.3387,14.5770,15.5699,14.9794,15.8825,1
