# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG41, v6 reduction
# calibration star "m16_d30"
# Solution: ~/KMTdata/Results/v6/IFfinal_BLG41.mat
# v6 fits the calibration set 14<I<19, isolated to 2 arcsec, 287 stars in this field.
# All are freely fitted; Gaia RUWE<1.4 is applied only in the post-hoc tie.
# I_OGLE = 16.63, at pixel (120.4, 154.6), 30.4 pix from the target
# RA, Dec (J2000) = 17:52:39.023 , -31:47:34.60  =  268.162595 , -31.792944 deg
# absolute proper motion (mu_alpha cos d, mu_d) = +2.333, +0.288 mas/yr
#   full six-parameter gauge removed (constant AND linear gradient)
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the run. Constant.
# errX_season, errY_season: this star own residual RMS within each season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457439.889474,6.9923,-36.6493,6.9124,5.8535,5.8996,4.7226,1
2457440.873734,11.0112,-34.0730,6.9124,5.8535,5.8996,4.7226,1
2457441.863774,8.3673,-33.6101,6.9124,5.8535,5.8996,4.7226,1
2457441.885034,4.0185,-31.2714,6.9124,5.8535,5.8996,4.7226,1
2457444.850904,5.5871,-42.2260,6.9124,5.8535,5.8996,4.7226,1
2457444.875034,8.0316,-29.2175,6.9124,5.8535,5.8996,4.7226,1
2457445.893134,10.3219,-33.0930,6.9124,5.8535,5.8996,4.7226,1
2457446.857474,2.8984,-37.9968,6.9124,5.8535,5.8996,4.7226,1
2457446.900524,0.9795,-36.5683,6.9124,5.8535,5.8996,4.7226,1
2457447.859044,6.8031,-37.9123,6.9124,5.8535,5.8996,4.7226,1
2457447.884184,17.2575,-30.3436,6.9124,5.8535,5.8996,4.7226,1
2457448.848144,6.9634,-35.0851,6.9124,5.8535,5.8996,4.7226,1
2457449.882344,2.3991,-32.4501,6.9124,5.8535,5.8996,4.7226,1
2457450.844824,7.9320,-39.0986,6.9124,5.8535,5.8996,4.7226,1
2457451.847284,6.1692,-38.6284,6.9124,5.8535,5.8996,4.7226,1
2457451.869404,5.8943,-40.3718,6.9124,5.8535,5.8996,4.7226,1
2457452.842504,5.9549,-31.0784,6.9124,5.8535,5.8996,4.7226,1
2457452.879104,3.3447,-34.8564,6.9124,5.8535,5.8996,4.7226,1
2457453.839854,5.2126,-35.1903,6.9124,5.8535,5.8996,4.7226,1
2457453.862354,5.7683,-29.3224,6.9124,5.8535,5.8996,4.7226,1
2457453.886314,8.9575,-38.4539,6.9124,5.8535,5.8996,4.7226,1
2457454.838844,8.3120,-37.9702,6.9124,5.8535,5.8996,4.7226,1
2457454.860034,12.0705,-37.5016,6.9124,5.8535,5.8996,4.7226,1
2457455.850354,16.4389,-31.5219,6.9124,5.8535,5.8996,4.7226,1
2457455.895704,13.0149,-33.0166,6.9124,5.8535,5.8996,4.7226,1
2457456.812284,8.5610,-33.7331,6.9124,5.8535,5.8996,4.7226,1
2457456.834924,7.1563,-33.1496,6.9124,5.8535,5.8996,4.7226,1
2457456.891874,11.8366,-38.8998,6.9124,5.8535,5.8996,4.7226,1
2457457.816464,8.6059,-30.8634,6.9124,5.8535,5.8996,4.7226,1
2457457.840084,11.5511,-40.1508,6.9124,5.8535,5.8996,4.7226,1
2457457.862094,5.3769,-28.9547,6.9124,5.8535,5.8996,4.7226,1
2457457.882874,9.9316,-32.6055,6.9124,5.8535,5.8996,4.7226,1
2457458.880204,14.6802,-36.6229,6.9124,5.8535,5.8996,4.7226,1
2457460.876964,7.2503,-30.9317,6.9124,5.8535,5.8996,4.7226,1
2457461.803824,9.0007,-39.1156,6.9124,5.8535,5.8996,4.7226,1
2457461.870304,13.9986,-42.4781,6.9124,5.8535,5.8996,4.7226,1
2457462.874924,11.3437,-37.7658,6.9124,5.8535,5.8996,4.7226,1
2457466.801244,9.9363,-42.0798,6.9124,5.8535,5.8996,4.7226,1
2457466.873964,7.0099,-38.5464,6.9124,5.8535,5.8996,4.7226,1
2457466.894534,5.5892,-37.1242,6.9124,5.8535,5.8996,4.7226,1
2457469.805494,12.8460,-33.3627,6.9124,5.8535,5.8996,4.7226,1
2457469.830814,0.8325,-35.1949,6.9124,5.8535,5.8996,4.7226,1
2457469.865584,7.7914,-32.2149,6.9124,5.8535,5.8996,4.7226,1
2457469.890464,14.1172,-37.5419,6.9124,5.8535,5.8996,4.7226,1
2457472.846424,6.4516,-33.2162,6.9124,5.8535,5.8996,4.7226,1
2457472.867254,8.1381,-35.1924,6.9124,5.8535,5.8996,4.7226,1
2457472.908754,4.3619,-37.4252,6.9124,5.8535,5.8996,4.7226,1
2457473.777214,10.7788,-33.2090,6.9124,5.8535,5.8996,4.7226,1
2457473.798434,14.5013,-39.1984,6.9124,5.8535,5.8996,4.7226,1
2457473.819034,15.9058,-36.5442,6.9124,5.8535,5.8996,4.7226,1
2457473.859344,5.7641,-39.4204,6.9124,5.8535,5.8996,4.7226,1
2457473.904514,4.5301,-35.1450,6.9124,5.8535,5.8996,4.7226,1
2457474.770264,-0.7851,-35.4488,6.9124,5.8535,5.8996,4.7226,1
2457474.792714,17.2717,-42.3968,6.9124,5.8535,5.8996,4.7226,1
2457474.812904,5.4563,-34.2564,6.9124,5.8535,5.8996,4.7226,1
2457474.833334,15.6652,-27.6177,6.9124,5.8535,5.8996,4.7226,1
2457474.886814,8.7947,-34.0643,6.9124,5.8535,5.8996,4.7226,1
2457474.907094,9.4739,-31.6753,6.9124,5.8535,5.8996,4.7226,1
2457475.786754,15.1163,-30.9477,6.9124,5.8535,5.8996,4.7226,1
2457475.788854,10.7796,-40.7152,6.9124,5.8535,5.8996,4.7226,1
2457475.810414,11.9691,-31.0097,6.9124,5.8535,5.8996,4.7226,1
2457475.835684,14.4916,-30.5553,6.9124,5.8535,5.8996,4.7226,1
2457475.870654,10.6113,-32.5790,6.9124,5.8535,5.8996,4.7226,1
2457475.902514,13.4205,-36.1536,6.9124,5.8535,5.8996,4.7226,1
2457476.800247,2.8507,-34.8780,6.9124,5.8535,5.8996,4.7226,1
2457476.855647,5.0522,-34.5871,6.9124,5.8535,5.8996,4.7226,1
2457476.897937,13.2051,-30.8906,6.9124,5.8535,5.8996,4.7226,1
2457477.762764,9.5496,-26.6886,6.9124,5.8535,5.8996,4.7226,1
2457477.796184,-0.9574,-28.2729,6.9124,5.8535,5.8996,4.7226,1
2457477.821214,19.6905,-32.0246,6.9124,5.8535,5.8996,4.7226,1
2457478.764414,7.4861,-37.5047,6.9124,5.8535,5.8996,4.7226,1
2457478.788064,8.2398,-36.2396,6.9124,5.8535,5.8996,4.7226,1
2457478.810724,12.1087,-29.7449,6.9124,5.8535,5.8996,4.7226,1
2457478.835594,5.9476,-30.4612,6.9124,5.8535,5.8996,4.7226,1
2457478.858554,4.9067,-37.3675,6.9124,5.8535,5.8996,4.7226,1
2457478.880234,9.6251,-39.5559,6.9124,5.8535,5.8996,4.7226,1
2457479.779137,3.9156,-29.1323,6.9124,5.8535,5.8996,4.7226,1
2457479.814637,8.9721,-27.6510,6.9124,5.8535,5.8996,4.7226,1
2457479.852057,16.6942,-41.4349,6.9124,5.8535,5.8996,4.7226,1
2457479.869837,13.7931,-27.9129,6.9124,5.8535,5.8996,4.7226,1
2457479.888387,12.9682,-37.5872,6.9124,5.8535,5.8996,4.7226,1
2457479.908047,11.7760,-33.0360,6.9124,5.8535,5.8996,4.7226,1
2457480.790677,9.5812,-37.2875,6.9124,5.8535,5.8996,4.7226,1
2457480.890507,18.4178,-34.6719,6.9124,5.8535,5.8996,4.7226,1
2457481.791947,11.0775,-30.0616,6.9124,5.8535,5.8996,4.7226,1
2457481.839657,10.5230,-33.0272,6.9124,5.8535,5.8996,4.7226,1
2457481.857877,5.2676,-38.9339,6.9124,5.8535,5.8996,4.7226,1
2457481.859347,14.9953,-36.3214,6.9124,5.8535,5.8996,4.7226,1
2457481.876327,16.7056,-34.0341,6.9124,5.8535,5.8996,4.7226,1
2457484.847627,10.4908,-26.6360,6.9124,5.8535,5.8996,4.7226,1
2457484.867167,18.9873,-32.2695,6.9124,5.8535,5.8996,4.7226,1
2457484.886807,8.7067,-34.6046,6.9124,5.8535,5.8996,4.7226,1
2457484.906697,12.3479,-39.7560,6.9124,5.8535,5.8996,4.7226,1
2457485.766697,9.6908,-38.0818,6.9124,5.8535,5.8996,4.7226,1
2457485.795637,13.5116,-37.0166,6.9124,5.8535,5.8996,4.7226,1
2457485.855587,19.4926,-32.8335,6.9124,5.8535,5.8996,4.7226,1
2457485.893707,12.9030,-30.9241,6.9124,5.8535,5.8996,4.7226,1
2457486.749827,-2.2175,-34.3464,6.9124,5.8535,5.8996,4.7226,1
2457486.863677,14.1086,-33.4646,6.9124,5.8535,5.8996,4.7226,1
2457486.889047,6.2347,-29.4402,6.9124,5.8535,5.8996,4.7226,1
2457487.783287,-0.8807,-37.1355,6.9124,5.8535,5.8996,4.7226,1
2457487.803837,10.6617,-31.4943,6.9124,5.8535,5.8996,4.7226,1
2457487.824707,8.3286,-32.0098,6.9124,5.8535,5.8996,4.7226,1
2457487.842207,10.6887,-41.5720,6.9124,5.8535,5.8996,4.7226,1
2457487.845557,12.6761,-28.5145,6.9124,5.8535,5.8996,4.7226,1
2457487.874027,6.5660,-29.0021,6.9124,5.8535,5.8996,4.7226,1
2457487.895397,5.0563,-33.1221,6.9124,5.8535,5.8996,4.7226,1
2457487.916167,16.1631,-30.3737,6.9124,5.8535,5.8996,4.7226,1
2457488.797434,9.7235,-29.9869,6.9124,5.8535,5.8996,4.7226,1
2457488.818874,2.9809,-29.8314,6.9124,5.8535,5.8996,4.7226,1
2457488.836974,14.5965,-35.3085,6.9124,5.8535,5.8996,4.7226,1
2457491.740067,3.0713,-36.0918,6.9124,5.8535,5.8996,4.7226,1
2457491.768237,20.6693,-34.7329,6.9124,5.8535,5.8996,4.7226,1
2457491.787387,6.1987,-25.9653,6.9124,5.8535,5.8996,4.7226,1
2457491.806997,18.4469,-39.9976,6.9124,5.8535,5.8996,4.7226,1
2457491.842307,15.2960,-39.6371,6.9124,5.8535,5.8996,4.7226,1
2457491.888487,20.6497,-25.7915,6.9124,5.8535,5.8996,4.7226,1
2457491.906987,7.2944,-37.8984,6.9124,5.8535,5.8996,4.7226,1
2457494.718167,6.9459,-28.9588,6.9124,5.8535,5.8996,4.7226,1
2457494.735697,7.2874,-28.5748,6.9124,5.8535,5.8996,4.7226,1
2457494.768487,15.0979,-31.9594,6.9124,5.8535,5.8996,4.7226,1
2457494.792867,16.4377,-30.9189,6.9124,5.8535,5.8996,4.7226,1
2457494.813627,5.0222,-30.1371,6.9124,5.8535,5.8996,4.7226,1
2457494.831367,15.8023,-30.4691,6.9124,5.8535,5.8996,4.7226,1
2457494.852017,13.4714,-34.1419,6.9124,5.8535,5.8996,4.7226,1
2457494.921657,-3.1788,-37.4562,6.9124,5.8535,5.8996,4.7226,1
2457495.720887,0.7102,-33.2582,6.9124,5.8535,5.8996,4.7226,1
2457495.740237,10.6831,-36.2418,6.9124,5.8535,5.8996,4.7226,1
2457495.807627,17.7885,-39.9958,6.9124,5.8535,5.8996,4.7226,1
2457495.825477,6.0224,-27.6002,6.9124,5.8535,5.8996,4.7226,1
2457495.845887,18.4970,-28.9698,6.9124,5.8535,5.8996,4.7226,1
2457495.865427,5.0282,-30.7762,6.9124,5.8535,5.8996,4.7226,1
2457495.895987,0.9045,-30.8846,6.9124,5.8535,5.8996,4.7226,1
2457495.914507,10.2911,-32.9458,6.9124,5.8535,5.8996,4.7226,1
2457497.822407,1.8348,-37.1411,6.9124,5.8535,5.8996,4.7226,1
2457497.862117,16.3005,-39.7969,6.9124,5.8535,5.8996,4.7226,1
2457497.908917,4.8647,-32.4484,6.9124,5.8535,5.8996,4.7226,1
2457498.725077,10.1883,-29.0264,6.9124,5.8535,5.8996,4.7226,1
2457498.882857,8.9222,-30.8977,6.9124,5.8535,5.8996,4.7226,1
2457499.710867,4.9248,-34.7003,6.9124,5.8535,5.8996,4.7226,1
2457499.728257,0.7303,-39.7532,6.9124,5.8535,5.8996,4.7226,1
2457499.769297,1.3343,-37.2076,6.9124,5.8535,5.8996,4.7226,1
2457499.798077,4.2304,-36.6364,6.9124,5.8535,5.8996,4.7226,1
2457499.815097,-3.3842,-37.5513,6.9124,5.8535,5.8996,4.7226,1
2457499.833037,-0.4743,-31.5589,6.9124,5.8535,5.8996,4.7226,1
2457499.851657,10.3182,-34.0721,6.9124,5.8535,5.8996,4.7226,1
2457499.908077,4.7600,-29.3740,6.9124,5.8535,5.8996,4.7226,1
2457500.695317,10.5049,-36.6162,6.9124,5.8535,5.8996,4.7226,1
2457500.712497,1.2949,-33.7926,6.9124,5.8535,5.8996,4.7226,1
2457500.733187,7.1982,-33.7030,6.9124,5.8535,5.8996,4.7226,1
2457500.751287,11.1369,-34.1188,6.9124,5.8535,5.8996,4.7226,1
2457500.823517,4.7256,-35.7599,6.9124,5.8535,5.8996,4.7226,1
2457500.861887,3.2183,-37.5856,6.9124,5.8535,5.8996,4.7226,1
2457500.880267,7.9874,-32.0806,6.9124,5.8535,5.8996,4.7226,1
2457500.902657,10.3924,-33.3226,6.9124,5.8535,5.8996,4.7226,1
2457504.839557,9.0705,-27.1530,6.9124,5.8535,5.8996,4.7226,1
2457505.703647,1.7249,-34.1286,6.9124,5.8535,5.8996,4.7226,1
2457505.738797,3.4336,-26.5774,6.9124,5.8535,5.8996,4.7226,1
2457508.675527,6.1757,-34.7877,6.9124,5.8535,5.8996,4.7226,1
2457508.693147,7.0698,-33.8686,6.9124,5.8535,5.8996,4.7226,1
2457508.710717,5.7140,-30.9319,6.9124,5.8535,5.8996,4.7226,1
2457508.728027,4.6570,-34.6393,6.9124,5.8535,5.8996,4.7226,1
2457508.730837,5.6887,-35.0713,6.9124,5.8535,5.8996,4.7226,1
2457508.775877,9.6847,-33.2532,6.9124,5.8535,5.8996,4.7226,1
2457508.794397,11.8415,-32.9256,6.9124,5.8535,5.8996,4.7226,1
2457508.812047,1.9255,-30.2020,6.9124,5.8535,5.8996,4.7226,1
2457508.838847,6.1156,-27.5396,6.9124,5.8535,5.8996,4.7226,1
2457508.857177,8.9798,-32.0260,6.9124,5.8535,5.8996,4.7226,1
2457508.883677,3.3698,-32.4412,6.9124,5.8535,5.8996,4.7226,1
2457508.918587,11.2193,-32.0537,6.9124,5.8535,5.8996,4.7226,1
2457509.753757,11.8142,-27.0119,6.9124,5.8535,5.8996,4.7226,1
2457509.773537,2.4795,-32.5539,6.9124,5.8535,5.8996,4.7226,1
2457509.791137,13.5781,-29.5370,6.9124,5.8535,5.8996,4.7226,1
2457509.811567,4.8905,-35.8136,6.9124,5.8535,5.8996,4.7226,1
2457511.732077,5.4828,-42.8549,6.9124,5.8535,5.8996,4.7226,1
2457511.749317,8.9862,-29.7074,6.9124,5.8535,5.8996,4.7226,1
2457511.777867,8.9369,-30.9743,6.9124,5.8535,5.8996,4.7226,1
2457511.816157,-0.0160,-30.2223,6.9124,5.8535,5.8996,4.7226,1
2457511.835367,9.1995,-38.9637,6.9124,5.8535,5.8996,4.7226,1
2457511.853217,2.9481,-35.8765,6.9124,5.8535,5.8996,4.7226,1
2457511.874837,10.9887,-35.7691,6.9124,5.8535,5.8996,4.7226,1
2457512.660867,13.4045,-35.6103,6.9124,5.8535,5.8996,4.7226,1
2457512.728647,11.2882,-31.3918,6.9124,5.8535,5.8996,4.7226,1
2457512.750437,4.3209,-36.9512,6.9124,5.8535,5.8996,4.7226,1
2457512.753647,5.9901,-30.2004,6.9124,5.8535,5.8996,4.7226,1
2457512.756557,10.3455,-35.6240,6.9124,5.8535,5.8996,4.7226,1
2457512.774577,6.4202,-38.8501,6.9124,5.8535,5.8996,4.7226,1
2457512.794967,5.8956,-35.5688,6.9124,5.8535,5.8996,4.7226,1
2457512.812217,8.0021,-44.1274,6.9124,5.8535,5.8996,4.7226,1
2457512.882517,1.1627,-31.4862,6.9124,5.8535,5.8996,4.7226,1
2457512.899527,5.9174,-38.4278,6.9124,5.8535,5.8996,4.7226,1
2457514.895167,4.8051,-43.4898,6.9124,5.8535,5.8996,4.7226,1
2457516.672847,16.6978,-30.2691,6.9124,5.8535,5.8996,4.7226,1
2457516.690207,11.2933,-36.6689,6.9124,5.8535,5.8996,4.7226,1
2457517.680307,8.8265,-33.2095,6.9124,5.8535,5.8996,4.7226,1
2457517.748027,7.8237,-26.7549,6.9124,5.8535,5.8996,4.7226,1
2457520.739207,13.2766,-41.2829,6.9124,5.8535,5.8996,4.7226,1
2457520.763607,0.4718,-36.4640,6.9124,5.8535,5.8996,4.7226,1
2457520.832147,5.7063,-24.4360,6.9124,5.8535,5.8996,4.7226,1
2457520.852717,4.4852,-31.4192,6.9124,5.8535,5.8996,4.7226,1
2457520.876277,9.4497,-37.5599,6.9124,5.8535,5.8996,4.7226,1
2457520.894247,9.1043,-35.7415,6.9124,5.8535,5.8996,4.7226,1
2457522.697707,12.6193,-41.7479,6.9124,5.8535,5.8996,4.7226,1
2457522.727087,12.5495,-31.0841,6.9124,5.8535,5.8996,4.7226,1
2457522.750627,16.1428,-26.3270,6.9124,5.8535,5.8996,4.7226,1
2457522.767887,13.4723,-32.7940,6.9124,5.8535,5.8996,4.7226,1
2457522.785437,14.1226,-34.5370,6.9124,5.8535,5.8996,4.7226,1
2457522.805127,5.7606,-29.1923,6.9124,5.8535,5.8996,4.7226,1
2457522.838847,-0.2531,-35.8231,6.9124,5.8535,5.8996,4.7226,1
2457523.660137,2.9303,-31.9437,6.9124,5.8535,5.8996,4.7226,1
2457523.727437,11.8245,-38.3968,6.9124,5.8535,5.8996,4.7226,1
2457523.744977,13.0787,-30.3581,6.9124,5.8535,5.8996,4.7226,1
2457523.783577,0.0523,-28.5816,6.9124,5.8535,5.8996,4.7226,1
2457523.805447,9.4642,-25.2486,6.9124,5.8535,5.8996,4.7226,1
2457523.837327,12.1740,-32.2496,6.9124,5.8535,5.8996,4.7226,1
2457523.854977,14.0893,-34.7091,6.9124,5.8535,5.8996,4.7226,1
2457523.879457,12.4099,-31.6081,6.9124,5.8535,5.8996,4.7226,1
2457523.896937,9.8638,-31.8025,6.9124,5.8535,5.8996,4.7226,1
2457523.914267,5.4619,-33.4018,6.9124,5.8535,5.8996,4.7226,1
2457526.655347,8.6606,-32.4938,6.9124,5.8535,5.8996,4.7226,1
2457526.685917,17.6799,-44.2371,6.9124,5.8535,5.8996,4.7226,1
2457526.724437,8.3212,-33.2953,6.9124,5.8535,5.8996,4.7226,1
2457526.869027,16.6768,-33.7899,6.9124,5.8535,5.8996,4.7226,1
2457526.872007,11.1196,-26.7490,6.9124,5.8535,5.8996,4.7226,1
2457528.851437,6.9187,-35.0229,6.9124,5.8535,5.8996,4.7226,1
2457528.893327,0.1039,-30.2618,6.9124,5.8535,5.8996,4.7226,1
2457528.912597,7.7211,-37.1681,6.9124,5.8535,5.8996,4.7226,1
2457528.930967,13.5983,-38.2883,6.9124,5.8535,5.8996,4.7226,1
2457529.753607,6.2105,-31.1165,6.9124,5.8535,5.8996,4.7226,1
2457530.686887,12.5186,-25.0965,6.9124,5.8535,5.8996,4.7226,1
2457530.717477,4.5459,-34.5792,6.9124,5.8535,5.8996,4.7226,1
2457530.734697,11.5216,-33.6366,6.9124,5.8535,5.8996,4.7226,1
2457530.753717,13.1425,-32.7422,6.9124,5.8535,5.8996,4.7226,1
2457530.795777,11.9527,-36.7016,6.9124,5.8535,5.8996,4.7226,1
2457530.846807,11.0411,-35.4587,6.9124,5.8535,5.8996,4.7226,1
2457530.864557,15.3776,-41.0810,6.9124,5.8535,5.8996,4.7226,1
2457534.633077,5.5711,-29.4307,6.9124,5.8535,5.8996,4.7226,1
2457534.662547,10.6764,-25.8987,6.9124,5.8535,5.8996,4.7226,1
2457534.679857,-1.9790,-34.0024,6.9124,5.8535,5.8996,4.7226,1
2457534.698427,5.1978,-33.3320,6.9124,5.8535,5.8996,4.7226,1
2457534.717017,5.1349,-38.2617,6.9124,5.8535,5.8996,4.7226,1
2457534.734347,11.8166,-30.6911,6.9124,5.8535,5.8996,4.7226,1
2457534.769207,6.2884,-37.4367,6.9124,5.8535,5.8996,4.7226,1
2457534.789967,5.8820,-33.4572,6.9124,5.8535,5.8996,4.7226,1
2457534.811537,7.9248,-39.3309,6.9124,5.8535,5.8996,4.7226,1
2457534.847427,7.9526,-31.3569,6.9124,5.8535,5.8996,4.7226,1
2457534.912867,16.0550,-28.6083,6.9124,5.8535,5.8996,4.7226,1
2457534.930407,15.0475,-27.1524,6.9124,5.8535,5.8996,4.7226,1
2457536.664507,0.1987,-28.2686,6.9124,5.8535,5.8996,4.7226,1
2457536.685767,6.9623,-33.4412,6.9124,5.8535,5.8996,4.7226,1
2457536.705167,7.3175,-32.3005,6.9124,5.8535,5.8996,4.7226,1
2457536.728777,10.2896,-32.0430,6.9124,5.8535,5.8996,4.7226,1
2457536.746147,10.1114,-33.7357,6.9124,5.8535,5.8996,4.7226,1
2457536.774077,10.1836,-36.8028,6.9124,5.8535,5.8996,4.7226,1
2457536.792287,7.2753,-28.8832,6.9124,5.8535,5.8996,4.7226,1
2457536.809697,1.4643,-33.2502,6.9124,5.8535,5.8996,4.7226,1
2457536.826887,9.3485,-30.0356,6.9124,5.8535,5.8996,4.7226,1
2457536.844257,14.0157,-28.7102,6.9124,5.8535,5.8996,4.7226,1
2457536.872747,10.4846,-34.1652,6.9124,5.8535,5.8996,4.7226,1
2457536.891467,15.8523,-38.1676,6.9124,5.8535,5.8996,4.7226,1
2457536.909327,15.7773,-31.4541,6.9124,5.8535,5.8996,4.7226,1
2457546.775567,2.5483,-34.6298,6.9124,5.8535,5.8996,4.7226,1
2457546.779057,9.1947,-32.3791,6.9124,5.8535,5.8996,4.7226,1
2457546.840567,19.3333,-31.0171,6.9124,5.8535,5.8996,4.7226,1
2457546.862437,7.7702,-29.6332,6.9124,5.8535,5.8996,4.7226,1
2457547.634247,10.8884,-27.7431,6.9124,5.8535,5.8996,4.7226,1
2457547.662797,14.8021,-29.2025,6.9124,5.8535,5.8996,4.7226,1
2457547.680367,14.2353,-35.6805,6.9124,5.8535,5.8996,4.7226,1
2457547.741427,3.5102,-26.5969,6.9124,5.8535,5.8996,4.7226,1
2457547.887917,1.4046,-38.0320,6.9124,5.8535,5.8996,4.7226,1
2457548.611727,18.9860,-33.8233,6.9124,5.8535,5.8996,4.7226,1
2457548.648007,11.6981,-34.6008,6.9124,5.8535,5.8996,4.7226,1
2457548.678917,20.0643,-28.9943,6.9124,5.8535,5.8996,4.7226,1
2457548.704844,18.3844,-32.4892,6.9124,5.8535,5.8996,4.7226,1
2457548.742164,17.6144,-33.9780,6.9124,5.8535,5.8996,4.7226,1
2457548.809957,12.1424,-29.4250,6.9124,5.8535,5.8996,4.7226,1
2457548.827877,14.0358,-33.0004,6.9124,5.8535,5.8996,4.7226,1
2457549.696927,7.1499,-32.9015,6.9124,5.8535,5.8996,4.7226,1
2457549.717867,1.4181,-33.3997,6.9124,5.8535,5.8996,4.7226,1
2457549.736337,6.3334,-32.9431,6.9124,5.8535,5.8996,4.7226,1
2457549.753817,10.9944,-27.9782,6.9124,5.8535,5.8996,4.7226,1
