# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG41, v6 reduction
# calibration star "m18_d17"
# Solution: ~/KMTdata/Results/v6/IFfinal_BLG41.mat
# v6 fits the calibration set 14<I<19, isolated to 2 arcsec, 287 stars in this field.
# All are freely fitted; Gaia RUWE<1.4 is applied only in the post-hoc tie.
# I_OGLE = 18.09, at pixel (134.5, 143.6), 17.3 pix from the target
# RA, Dec (J2000) = 17:52:38.583 , -31:47:38.93  =  268.160763 , -31.794148 deg
# absolute proper motion (mu_alpha cos d, mu_d) = -5.966, -1.982 mas/yr
#   full six-parameter gauge removed (constant AND linear gradient)
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the run. Constant.
# errX_season, errY_season: this star own residual RMS within each season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457446.879004,-55.9214,10.6134,51.6828,27.8512,50.6136,27.1000,1
2457453.862354,-21.8635,-16.9677,51.6828,27.8512,50.6136,27.1000,1
2457454.881694,-64.5110,-39.9096,51.6828,27.8512,50.6136,27.1000,1
2457454.903964,-78.7864,4.2745,51.6828,27.8512,50.6136,27.1000,1
2457456.834924,-24.9550,-9.2935,51.6828,27.8512,50.6136,27.1000,1
2457456.870584,-48.8837,-20.6855,51.6828,27.8512,50.6136,27.1000,1
2457458.859204,9.2316,-78.5335,51.6828,27.8512,50.6136,27.1000,1
2457461.904714,-55.4198,-24.7380,51.6828,27.8512,50.6136,27.1000,1
2457462.874924,-25.0284,-41.2226,51.6828,27.8512,50.6136,27.1000,1
2457466.801244,-16.7781,-27.8362,51.6828,27.8512,50.6136,27.1000,1
2457469.865584,-43.2492,-16.4372,51.6828,27.8512,50.6136,27.1000,1
2457473.904514,-79.6867,-25.2106,51.6828,27.8512,50.6136,27.1000,1
2457476.833617,-42.2933,-18.9658,51.6828,27.8512,50.6136,27.1000,1
2457476.876207,-55.0763,-13.4863,51.6828,27.8512,50.6136,27.1000,1
2457478.788064,-36.7535,0.6954,51.6828,27.8512,50.6136,27.1000,1
2457479.888387,-50.9580,-25.5497,51.6828,27.8512,50.6136,27.1000,1
2457481.857877,-41.0444,-44.8511,51.6828,27.8512,50.6136,27.1000,1
2457481.876327,-62.7376,-36.0941,51.6828,27.8512,50.6136,27.1000,1
2457487.824707,-37.4781,-9.5747,51.6828,27.8512,50.6136,27.1000,1
2457487.874027,-42.6555,-0.6267,51.6828,27.8512,50.6136,27.1000,1
2457494.768487,-63.1666,-19.1586,51.6828,27.8512,50.6136,27.1000,1
2457494.852017,-29.8834,-16.7918,51.6828,27.8512,50.6136,27.1000,1
2457494.903207,-60.5143,-22.0404,51.6828,27.8512,50.6136,27.1000,1
2457494.921657,-43.9064,-17.6703,51.6828,27.8512,50.6136,27.1000,1
2457499.751387,-78.8659,-27.5195,51.6828,27.8512,50.6136,27.1000,1
2457499.798077,-46.6097,-20.9691,51.6828,27.8512,50.6136,27.1000,1
2457499.815097,-59.1555,12.9794,51.6828,27.8512,50.6136,27.1000,1
