# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG01, v6 reduction
# the target
# Solution: ~/KMTdata/Results/v8/IFfinal_BLG01.mat
# v8 fits the calibration set 14<I<19, isolated to 2 arcsec, minus 2-sigma RMS outliers: 235 stars.
# All are freely fitted; Gaia RUWE<1.4 is applied only in the post-hoc tie.
# I_OGLE = 18.13, at pixel (151.6, 150.2), 0.0 pix from the target
# RA, Dec (J2000) = 17:52:38.085 , -31:47:36.21  =  268.158689 , -31.793393 deg
# absolute proper motion (mu_alpha cos d, mu_d) = -1.514, -7.073 mas/yr
#   full six-parameter gauge removed (constant AND linear gradient)
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the run. Constant.
# errX_season, errY_season: this star own residual RMS within each season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457441.875824,-14.3314,18.7687,20.3726,19.8108,18.6384,19.0922,1
2457447.845274,-7.4787,12.4639,20.3726,19.8108,18.6384,19.0922,1
2457447.896124,12.7952,14.4799,20.3726,19.8108,18.6384,19.0922,1
2457449.895624,23.6991,6.1418,20.3726,19.8108,18.6384,19.0922,1
2457451.882254,4.9438,11.2248,20.3726,19.8108,18.6384,19.0922,1
2457457.904974,1.1524,9.7292,20.3726,19.8108,18.6384,19.0922,1
2457461.815294,21.6352,5.9016,20.3726,19.8108,18.6384,19.0922,1
2457461.881694,9.1476,30.0048,20.3726,19.8108,18.6384,19.0922,1
2457466.790834,-0.1595,-13.2505,20.3726,19.8108,18.6384,19.0922,1
2457466.904944,-29.6692,32.9819,20.3726,19.8108,18.6384,19.0922,1
2457469.842754,6.1656,41.3694,20.3726,19.8108,18.6384,19.0922,1
2457469.902574,19.3848,31.7394,20.3726,19.8108,18.6384,19.0922,1
2457473.767334,-19.5687,41.8165,20.3726,19.8108,18.6384,19.0922,1
2457473.829174,-4.8256,30.0736,20.3726,19.8108,18.6384,19.0922,1
2457474.802834,40.5244,39.5130,20.3726,19.8108,18.6384,19.0922,1
2457474.823204,37.7267,17.8494,20.3726,19.8108,18.6384,19.0922,1
2457474.843314,-9.1299,36.0732,20.3726,19.8108,18.6384,19.0922,1
2457474.896914,-22.0899,27.8397,20.3726,19.8108,18.6384,19.0922,1
2457476.866587,-13.3965,47.1926,20.3726,19.8108,18.6384,19.0922,1
2457479.787907,8.6702,14.1936,20.3726,19.8108,18.6384,19.0922,1
2457479.861057,-2.1716,59.4008,20.3726,19.8108,18.6384,19.0922,1
2457479.898357,-22.9874,28.0556,20.3726,19.8108,18.6384,19.0922,1
2457479.917407,-10.8891,21.2964,20.3726,19.8108,18.6384,19.0922,1
2457480.779637,-12.9542,31.6840,20.3726,19.8108,18.6384,19.0922,1
2457480.817077,-0.8679,10.6634,20.3726,19.8108,18.6384,19.0922,1
2457480.899627,-36.8442,7.2247,20.3726,19.8108,18.6384,19.0922,1
2457481.758687,12.4476,-3.6776,20.3726,19.8108,18.6384,19.0922,1
2457481.779777,-9.7170,-2.7144,20.3726,19.8108,18.6384,19.0922,1
2457481.830507,-9.1131,18.2012,20.3726,19.8108,18.6384,19.0922,1
2457482.798567,-1.6602,11.0063,20.3726,19.8108,18.6384,19.0922,1
2457482.841957,8.0672,31.9678,20.3726,19.8108,18.6384,19.0922,1
2457484.804047,-1.9839,-21.2256,20.3726,19.8108,18.6384,19.0922,1
2457486.819627,-36.5798,8.3832,20.3726,19.8108,18.6384,19.0922,1
2457487.795227,22.9492,29.4624,20.3726,19.8108,18.6384,19.0922,1
2457487.833617,16.9339,9.1777,20.3726,19.8108,18.6384,19.0922,1
2457487.864357,2.0627,0.7123,20.3726,19.8108,18.6384,19.0922,1
2457487.884767,-6.8304,16.8135,20.3726,19.8108,18.6384,19.0922,1
2457487.904937,-3.7227,18.5266,20.3726,19.8108,18.6384,19.0922,1
2457488.806694,-18.1263,35.3095,20.3726,19.8108,18.6384,19.0922,1
2457488.827904,-24.0378,-1.8216,20.3726,19.8108,18.6384,19.0922,1
2457488.845654,-14.0299,33.5358,20.3726,19.8108,18.6384,19.0922,1
2457489.889827,-11.3445,45.9264,20.3726,19.8108,18.6384,19.0922,1
2457491.832847,-21.8928,19.7794,20.3726,19.8108,18.6384,19.0922,1
2457491.864017,-4.5015,23.7909,20.3726,19.8108,18.6384,19.0922,1
2457494.708967,2.6183,34.7005,20.3726,19.8108,18.6384,19.0922,1
2457494.777367,15.7346,18.7133,20.3726,19.8108,18.6384,19.0922,1
