# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG01, v6 reduction
# calibration star "m16_d24"
# Solution: ~/KMTdata/Results/v8/IFfinal_BLG01.mat
# v8 fits the calibration set 14<I<19, isolated to 2 arcsec, minus 2-sigma RMS outliers: 235 stars.
# All are freely fitted; Gaia RUWE<1.4 is applied only in the post-hoc tie.
# I_OGLE = 16.68, at pixel (162.4, 172.1), 24.5 pix from the target
# RA, Dec (J2000) = 17:52:37.746 , -31:47:27.53  =  268.157273 , -31.790981 deg
# absolute proper motion (mu_alpha cos d, mu_d) = -3.217, -7.849 mas/yr
#   full six-parameter gauge removed (constant AND linear gradient)
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the run. Constant.
# errX_season, errY_season: this star own residual RMS within each season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457444.887964,-8.8333,22.6594,4.1258,4.3215,3.8104,3.8752,1
2457445.849494,-8.2865,27.2755,4.1258,4.3215,3.8104,3.8752,1
2457445.882854,-6.3592,18.8859,4.1258,4.3215,3.8104,3.8752,1
2457446.844884,-4.7853,20.5601,4.1258,4.3215,3.8104,3.8752,1
2457446.889504,-13.0519,22.3944,4.1258,4.3215,3.8104,3.8752,1
2457447.845274,-5.5277,26.0065,4.1258,4.3215,3.8104,3.8752,1
2457447.870894,-11.9476,24.1895,4.1258,4.3215,3.8104,3.8752,1
2457447.896124,-9.3868,22.1194,4.1258,4.3215,3.8104,3.8752,1
2457448.859754,-10.5969,21.2042,4.1258,4.3215,3.8104,3.8752,1
2457448.881804,-15.5196,18.8752,4.1258,4.3215,3.8104,3.8752,1
2457449.895624,-8.6014,22.2252,4.1258,4.3215,3.8104,3.8752,1
2457451.836364,-12.6965,21.5943,4.1258,4.3215,3.8104,3.8752,1
2457451.857994,-8.3929,20.7283,4.1258,4.3215,3.8104,3.8752,1
2457451.882254,-15.5722,23.0538,4.1258,4.3215,3.8104,3.8752,1
2457452.830984,-17.0389,20.1028,4.1258,4.3215,3.8104,3.8752,1
2457452.890024,-12.1584,20.7177,4.1258,4.3215,3.8104,3.8752,1
2457453.828314,-7.6924,24.7141,4.1258,4.3215,3.8104,3.8752,1
2457453.850814,-11.9934,20.8648,4.1258,4.3215,3.8104,3.8752,1
2457454.827394,-11.0237,23.8140,4.1258,4.3215,3.8104,3.8752,1
2457454.849774,-7.0429,25.6738,4.1258,4.3215,3.8104,3.8752,1
2457454.870764,-11.0687,17.4307,4.1258,4.3215,3.8104,3.8752,1
2457454.893184,-10.9178,23.9133,4.1258,4.3215,3.8104,3.8752,1
2457455.883744,-11.0690,25.7767,4.1258,4.3215,3.8104,3.8752,1
2457456.822654,-6.0095,16.1082,4.1258,4.3215,3.8104,3.8752,1
2457456.846374,-16.3977,27.5177,4.1258,4.3215,3.8104,3.8752,1
2457456.880834,-6.3166,26.4738,4.1258,4.3215,3.8104,3.8752,1
2457457.828984,-8.8578,20.7490,4.1258,4.3215,3.8104,3.8752,1
2457457.851624,-10.0234,23.7636,4.1258,4.3215,3.8104,3.8752,1
2457457.872584,-9.3324,20.9383,4.1258,4.3215,3.8104,3.8752,1
2457457.904974,-15.3726,19.7615,4.1258,4.3215,3.8104,3.8752,1
2457458.827424,-11.1465,21.5235,4.1258,4.3215,3.8104,3.8752,1
