# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG41, v6 reduction
# calibration star "m16_d30"
# Solution: ~/KMTdata/Results/v8/IFfinal_BLG41.mat
# v8 fits the calibration set 14<I<19, isolated to 2 arcsec, minus 2-sigma RMS outliers: 260 stars.
# All are freely fitted; Gaia RUWE<1.4 is applied only in the post-hoc tie.
# I_OGLE = 16.63, at pixel (120.4, 154.6), 30.4 pix from the target
# RA, Dec (J2000) = 17:52:39.023 , -31:47:34.60  =  268.162595 , -31.792945 deg
# absolute proper motion (mu_alpha cos d, mu_d) = +2.399, +0.359 mas/yr
#   full six-parameter gauge removed (constant AND linear gradient)
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the run. Constant.
# errX_season, errY_season: this star own residual RMS within each season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457439.889474,7.7029,-36.7808,6.6944,5.5325,5.8600,4.5631,1
2457440.873734,11.2148,-33.3435,6.6944,5.5325,5.8600,4.5631,1
2457441.863774,7.6580,-34.2771,6.6944,5.5325,5.8600,4.5631,1
2457441.885034,3.9451,-32.2717,6.6944,5.5325,5.8600,4.5631,1
2457444.850904,3.9368,-40.3994,6.6944,5.5325,5.8600,4.5631,1
2457444.875034,8.4283,-28.6860,6.6944,5.5325,5.8600,4.5631,1
2457445.893134,10.4874,-31.9687,6.6944,5.5325,5.8600,4.5631,1
2457446.857474,3.3901,-39.0095,6.6944,5.5325,5.8600,4.5631,1
2457446.900524,0.9847,-38.1079,6.6944,5.5325,5.8600,4.5631,1
2457447.859044,7.7187,-36.3045,6.6944,5.5325,5.8600,4.5631,1
2457447.884184,14.9435,-29.7106,6.6944,5.5325,5.8600,4.5631,1
2457448.848144,7.4688,-37.4963,6.6944,5.5325,5.8600,4.5631,1
2457448.870694,17.3582,-29.0579,6.6944,5.5325,5.8600,4.5631,1
2457449.882344,1.8889,-33.8725,6.6944,5.5325,5.8600,4.5631,1
2457450.844824,9.2412,-42.0807,6.6944,5.5325,5.8600,4.5631,1
2457450.894234,10.3436,-43.4999,6.6944,5.5325,5.8600,4.5631,1
2457451.847284,6.5708,-37.4087,6.6944,5.5325,5.8600,4.5631,1
2457451.869404,6.5869,-40.2408,6.6944,5.5325,5.8600,4.5631,1
2457451.893614,8.9780,-39.0949,6.6944,5.5325,5.8600,4.5631,1
2457452.842504,6.1143,-31.9558,6.6944,5.5325,5.8600,4.5631,1
2457452.879104,4.0907,-32.7378,6.6944,5.5325,5.8600,4.5631,1
2457453.839854,5.7636,-35.9778,6.6944,5.5325,5.8600,4.5631,1
2457453.862354,6.0007,-29.5106,6.6944,5.5325,5.8600,4.5631,1
2457453.886314,8.8972,-35.3471,6.6944,5.5325,5.8600,4.5631,1
2457454.838844,5.8508,-40.0109,6.6944,5.5325,5.8600,4.5631,1
2457454.860034,12.0026,-36.7559,6.6944,5.5325,5.8600,4.5631,1
2457455.818494,17.3861,-35.1018,6.6944,5.5325,5.8600,4.5631,1
2457455.850354,15.6627,-29.2508,6.6944,5.5325,5.8600,4.5631,1
2457455.895704,12.4028,-33.4480,6.6944,5.5325,5.8600,4.5631,1
2457456.812284,8.3631,-32.7196,6.6944,5.5325,5.8600,4.5631,1
2457456.834924,7.4953,-31.6248,6.6944,5.5325,5.8600,4.5631,1
2457456.870584,1.5901,-37.2813,6.6944,5.5325,5.8600,4.5631,1
2457457.816464,8.2822,-31.6973,6.6944,5.5325,5.8600,4.5631,1
2457457.840084,11.6954,-40.2653,6.6944,5.5325,5.8600,4.5631,1
2457457.882874,11.1246,-34.0278,6.6944,5.5325,5.8600,4.5631,1
2457458.814244,15.5487,-35.0400,6.6944,5.5325,5.8600,4.5631,1
2457458.880204,14.7969,-37.1465,6.6944,5.5325,5.8600,4.5631,1
2457460.811764,7.9426,-33.3286,6.6944,5.5325,5.8600,4.5631,1
2457460.876964,7.3326,-33.5325,6.6944,5.5325,5.8600,4.5631,1
2457461.803824,8.2065,-37.1500,6.6944,5.5325,5.8600,4.5631,1
2457461.870304,12.4719,-39.8120,6.6944,5.5325,5.8600,4.5631,1
2457461.904714,5.3261,-36.7325,6.6944,5.5325,5.8600,4.5631,1
2457462.874924,10.8036,-37.8804,6.6944,5.5325,5.8600,4.5631,1
2457466.841764,8.6810,-32.1586,6.6944,5.5325,5.8600,4.5631,1
2457466.873964,8.2662,-39.2590,6.6944,5.5325,5.8600,4.5631,1
2457466.894534,5.1697,-36.9671,6.6944,5.5325,5.8600,4.5631,1
2457469.830814,0.2194,-36.6336,6.6944,5.5325,5.8600,4.5631,1
2457469.865584,7.8279,-31.5606,6.6944,5.5325,5.8600,4.5631,1
2457469.890464,14.2316,-40.6867,6.6944,5.5325,5.8600,4.5631,1
2457472.846424,5.7555,-33.6742,6.6944,5.5325,5.8600,4.5631,1
2457472.908754,4.5531,-36.6283,6.6944,5.5325,5.8600,4.5631,1
