# KMT-2026-BLG-0521 / OGLE-2026-BLG-0058, field BLG41, v6 reduction
# calibration star "m16_d31"
# Solution: ~/KMTdata/Results/v8/IFfinal_BLG41.mat
# v8 fits the calibration set 14<I<19, isolated to 2 arcsec, minus 2-sigma RMS outliers: 260 stars.
# All are freely fitted; Gaia RUWE<1.4 is applied only in the post-hoc tie.
# I_OGLE = 16.75, at pixel (138.7, 178.7), 30.6 pix from the target
# RA, Dec (J2000) = 17:52:38.451 , -31:47:25.04  =  268.160211 , -31.790288 deg
# absolute proper motion (mu_alpha cos d, mu_d) = +3.711, -14.879 mas/yr
#   full six-parameter gauge removed (constant AND linear gradient)
# X_mas, Y_mas: position in mas, proper motion NOT removed, relative to the mean
# errX_decade, errY_decade: this star own residual RMS over the run. Constant.
# errX_season, errY_season: this star own residual RMS within each season.
# season: 1=2016 ... 10=2026 (2020 is dropped as a short stub)
JD,X_mas,Y_mas,errX_decade,errY_decade,errX_season,errY_season,season
2457439.889474,17.9205,55.4540,8.4237,7.8195,8.8998,6.8597,1
2457440.894604,18.4303,63.3096,8.4237,7.8195,8.8998,6.8597,1
2457441.885034,12.4407,49.2370,8.4237,7.8195,8.8998,6.8597,1
2457444.849234,11.9522,50.5122,8.4237,7.8195,8.8998,6.8597,1
2457444.898554,7.4811,53.9448,8.4237,7.8195,8.8998,6.8597,1
2457445.859904,6.4842,51.5933,8.4237,7.8195,8.8998,6.8597,1
2457446.857474,10.1072,58.6665,8.4237,7.8195,8.8998,6.8597,1
2457446.900524,22.4331,60.6607,8.4237,7.8195,8.8998,6.8597,1
2457447.859044,22.6415,49.5935,8.4237,7.8195,8.8998,6.8597,1
2457447.884184,14.4001,50.7509,8.4237,7.8195,8.8998,6.8597,1
2457448.848144,6.2045,48.8853,8.4237,7.8195,8.8998,6.8597,1
2457450.844824,7.4394,52.6032,8.4237,7.8195,8.8998,6.8597,1
2457451.847284,10.8048,57.5191,8.4237,7.8195,8.8998,6.8597,1
2457451.869404,14.8905,47.2500,8.4237,7.8195,8.8998,6.8597,1
2457451.893614,12.3368,51.2092,8.4237,7.8195,8.8998,6.8597,1
2457453.839854,17.6139,44.7356,8.4237,7.8195,8.8998,6.8597,1
2457453.886314,14.4109,53.3541,8.4237,7.8195,8.8998,6.8597,1
2457455.895704,8.4995,46.6887,8.4237,7.8195,8.8998,6.8597,1
2457456.834924,22.9708,53.8344,8.4237,7.8195,8.8998,6.8597,1
2457456.870584,12.5699,55.2087,8.4237,7.8195,8.8998,6.8597,1
