FieldName,FieldID,CenterRA,CenterDec,Nepochs,Nused,SpatialCalibCoefs_1,SpatialCalibCoefs_2,SpatialCalibCoefs_3,SpatialCalibCoefs_4,SpatialCalibCoefs_5,SpatialCalibCoefs_6,PMCalibCoefs_1,PMCalibCoefs_2,PMCalibCoefs_3,PMCalibCoefs_4,PMCalibCoefs_5,PMCalibCoefs_6,KMTGAIAPMRSTDRA,KMTGAIAPMRSTDDec,MeanGaiaPlx,MeanGaiaPlxErr
BLG02,1,269.76354,-28.53772,13447,11804,-1.74654309819854e-06,4.40796571660837e-08,4.22244252260602e-07,2.54461611443051e-06,4.70847708278168,-0.498462039844519,-265.939945284024,-69.3831680214402,97.5021947567431,14.5319742516221,0.129878131795109,-2.88407146545545,1.90490858684177,2.48118925553689,0.207151674235677,0.108923331628571
BLG43,2,269.76331,-28.537625,14005,12489,-1.37802687709618e-06,-1.12540874239579e-07,-8.62292394918305e-08,2.97241339080295e-06,4.70850150104894,-0.498497732734299,-265.332574057537,131.719254507854,92.9103239497028,374.896163916902,-1.69023615646472,-4.31266127163708,2.93437100453636,2.3083365711501,0.194022685672665,0.10899780322807
BLG02,3,269.33046,-28.07086,15544,13483,-1.84266109727311e-06,-3.60672268551204e-07,-1.10743997134875e-07,2.8373781514825e-06,4.70100225189684,-0.490263462433118,-343.025229963892,-79.8671187197669,-2.70276038790728,-200.836890689316,-3.79906525120778,-2.28703027950274,2.43244254013796,1.95486405497566,0.193206421096153,0.1224695271
BLG42,5,268.92894,-28.19905,14295,12799,-1.15477464153089e-06,-1.38554578163863e-07,-6.31308977174722e-07,3.64979793410042e-06,4.69396808667934,-0.492692414502161,-364.697868774387,-347.413572358873,95.2742271061503,317.815898817621,-1.8416102154921,-5.56420523534286,1.68074190106981,3.07468508598234,0.274123856701405,0.111202233140351
BLG03,6,270.89908,-26.94344,15020,13024,-2.00524574031217e-06,5.4766277622324e-08,2.6458462579872e-07,1.99457681355411e-06,4.72833168880293,-0.470556782976025,-220.880608677985,-69.1039146037875,-138.849812871682,197.755083013781,-0.826465112093426,-3.96153363892124,2.03672134980321,1.84420327146253,0.252428178025615,0.101110338375
BLG43,7,270.8444,-28.49867,14234,12697,-5.13898731954519e-08,-4.78508218926193e-07,-2.6121998772194e-06,3.35847075362393e-06,4.7275374958256,-0.497850722196855,553.586196293743,49.8039109475834,54.5092971939465,-131.231577390959,5.68456208977754,0.894454051129407,7.64625174309433,3.64075826663083,0.217654295885367,0.106853548857143
BLG42,8,268.57346,-28.92202,13835,12377,-1.55927842618151e-06,-8.10234457086195e-08,-1.90635327120737e-07,3.12930840137375e-06,4.68777581693599,-0.505231988607637,-278.361479922471,-56.5422037002433,0.612036844650129,416.25192899722,-2.41639733092518,-5.36722944022687,2.35471395666685,3.02248837299217,0.076299599302695,0.126628391514124
BLG43,9,270.05871,-27.97325,14122,12601,-2.1903529570743e-06,6.17720655485283e-09,1.92232055502818e-07,1.99870479752675e-06,4.7137184143132,-0.488536871281186,-340.28608249309,36.7839400832587,-7.38865551663027,359.25242726334,-3.31090915718594,-4.92912904028795,1.01860529524027,1.20114508325643,0.146189355805477,0.114753875636364
BLG03,10,271.09752,-27.02689,14531,12280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BLG43,11,271.08412,-27.03789,13884,12381,-2.0771434176685e-06,-2.46745001979965e-08,-2.19855409225475e-07,2.20138399160752e-06,4.731641790041,-0.472220862172029,-130.893039188501,-34.6629211243102,114.288298228552,43.1918791561776,-0.35278935544705,-1.49814477369137,2.45792250331189,2.69151124255638,0.221978515387662,0.0996070879777778
